INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Mitchell,Trubisky,1,10,74,215,QB,84,76,65,44,20,78,31,23,24,35,88,91,69,87,16,32,80,0,1,0,0,26,95,162,63
1,David,Montgomery,5,32,70,222,RB,86,84,92,71,45,31,17,12,24,30,38,87,81,86,12,27,90,0,0,1,0,23,95,214,82
2,Tarik,Cohen,5,29,66,191,RB,92,74,77,73,41,36,20,22,22,26,51,86,76,94,24,24,85,1,0,0,1,25,93,188,57
3,Allen,Robinson,5,12,74,220,WR,89,77,83,96,42,10,25,30,40,42,30,89,95,89,21,15,89,0,0,0,0,27,84,214,91
4,Anthony,Miller,5,17,71,199,WR,89,77,73,82,34,25,19,13,29,33,42,87,80,93,18,20,85,1,0,0,0,25,71,92,65
5,Ted,Ginn,5,19,71,180,WR,91,80,74,80,32,10,13,15,39,35,41,89,75,89,15,25,83,1,1,1,0,35,71,115,95
6,Cordarrelle,Patterson,1,84,74,238,WR,91,85,72,83,42,45,20,20,39,48,60,94,74,95,22,32,83,1,0,0,1,29,92,43,90
7,Riley,Ridley,5,88,73,200,WR,86,72,76,83,39,10,16,11,38,34,25,89,69,79,24,26,81,0,1,0,1,24,91,97,84
8,Jimmy,Graham,1,80,79,265,TE,81,64,74,87,56,25,22,12,40,30,32,93,85,80,16,25,87,0,1,0,0,33,89,206,91
9,Charles,Leno,1,72,75,307,OL,63,14,24,25,85,6,11,15,25,35,10,90,87,63,10,20,84,0,1,1,1,28,75,70,65
10,James,Daniels,5,68,75,305,OL,63,8,28,20,80,6,15,14,26,28,26,86,86,76,12,29,86,0,0,1,0,22,77,241,83
11,Cody,Whitehair,5,65,75,309,OL,71,7,33,24,83,6,20,20,32,31,21,90,86,72,13,48,88,0,1,1,1,28,84,308,52
12,Germain,Ifedi,1,74,78,325,OL,63,7,31,24,74,6,20,20,27,35,21,87,78,68,13,25,87,0,1,0,0,26,91,139,59
13,Bobby,Massie,1,70,78,325,OL,63,11,40,40,76,6,8,7,17,30,10,90,89,60,14,22,82,0,0,0,1,31,83,185,93
14,Akiem,Hicks,5,96,76,352,DL,63,13,35,30,36,6,25,25,91,86,26,94,96,68,26,80,83,1,0,0,0,30,83,46,50
15,Roy,Robertson-Harris,5,95,77,292,DL,77,16,21,40,33,6,30,30,70,80,34,87,77,73,37,76,74,1,0,0,1,27,90,132,61
16,Eddie,Goldman,5,91,75,318,DL,63,10,40,25,42,6,24,18,83,92,21,85,86,63,24,84,76,1,0,0,1,26,74,89,91
17,Bilal,Nichols,1,98,75,313,DL,74,22,42,39,40,6,17,10,78,81,23,88,77,67,24,76,72,0,1,1,1,23,87,15,61
18,Akiem,Hicks,5,96,76,352,DL,63,13,35,30,36,6,25,25,91,86,26,94,96,68,26,80,83,1,0,0,1,30,93,3,81
19,Roquan,Smith,5,58,72,230,LB,89,36,54,65,37,8,14,22,74,86,25,92,82,88,73,87,94,0,0,0,0,23,75,253,69
20,Danny,Trevathan,5,59,72,237,LB,80,10,45,73,37,6,37,30,71,90,20,85,90,80,71,82,92,1,0,1,0,30,75,270,79
21,Robert,Quinn,5,94,76,257,LB,80,25,35,49,38,6,14,22,67,80,33,91,88,83,48,82,82,0,0,0,0,30,90,45,87
22,Kyle,Fuller,5,23,71,194,DB,91,45,66,71,27,6,19,19,47,59,36,89,88,90,87,80,94,1,0,0,0,28,72,177,68
23,Buster,Skrine,5,24,69,187,DB,89,67,58,61,29,6,15,16,63,64,10,89,78,94,73,41,91,1,1,0,0,31,81,305,57
24,Tashaun,Gipson,5,38,71,212,DB,84,42,66,82,27,6,20,19,59,73,21,93,78,86,78,72,92,0,0,1,0,30,82,221,82
25,Eddie,Jackson,5,39,72,204,DB,88,57,74,78,27,6,20,19,56,70,21,82,91,86,88,82,89,0,1,1,1,26,85,268,65
26,Jaylon,Johnson,5,33,72,193,DB,89,60,60,65,29,6,15,14,53,63,27,83,75,86,74,65,91,1,0,0,0,21,94,127,93
27,Artie,Burns,5,25,72,197,DB,90,55,60,63,27,6,18,17,39,52,27,87,73,85,70,53,90,1,0,1,0,25,92,149,90
28,Eddy,Pineiro,1,15,71,177,K,78,5,20,18,16,19,92,77,24,26,25,85,58,62,14,13,79,0,1,1,0,24,95,257,94
29,Pat,O'Donnell,1,16,76,212,P,80,19,44,34,14,31,91,74,24,24,49,85,61,74,17,52,87,0,1,0,1,29,77,186,59
30,Nick,Foles,5,9,78,243,QB,70,40,62,41,16,81,25,25,25,25,86,87,74,69,17,12,69,0,0,0,1,31,98,112,85
31,Tyler,Bray,5,8,78,215,QB,69,25,54,35,11,65,15,12,21,20,87,87,58,71,12,12,66,0,0,1,0,28,83,225,59
32,Ryan,Nall,5,35,74,234,RB,86,77,80,65,53,17,17,12,24,35,15,84,54,83,12,39,87,0,0,1,1,24,92,318,51
33,Javon,Wims,1,83,75,221,WR,88,74,75,81,37,16,19,15,28,28,22,90,69,84,15,16,83,1,0,0,1,25,76,91,59
34,Trevor,Davis,5,14,73,188,WR,91,72,69,78,34,10,24,24,40,22,24,88,59,91,17,15,82,1,0,0,1,27,79,255,55
35,Demetrius,Harris,5,86,79,230,TE,85,67,69,77,61,10,30,30,49,40,35,90,70,88,17,12,82,0,1,0,1,29,95,323,94
36,Cole,Kmet,1,85,78,262,TE,82,60,75,83,58,16,24,15,56,48,39,86,73,73,30,48,80,0,1,0,0,21,87,313,74
37,Arlington,Hambright,5,71,76,300,OL,73,13,24,29,69,5,18,12,35,40,16,86,63,73,12,39,87,0,0,1,1,24,81,223,58
38,Alex,Bars,5,64,78,314,OL,63,6,31,24,64,6,15,12,25,30,11,85,57,62,12,20,83,0,0,0,0,24,87,19,67
