INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Joe,Burrow,1,9,76,221,QB,83,66,67,40,16,85,21,17,30,36,86,95,77,82,31,29,88,1,1,1,1,23,91,112,74
1,Joe,Mixon,5,28,73,218,RB,91,88,97,70,54,32,24,16,34,37,38,92,88,92,15,38,96,0,1,1,0,24,98,46,84
2,Giovani,Bernard,5,25,69,205,RB,89,74,86,69,48,28,23,15,32,35,30,83,79,89,24,20,84,0,1,1,0,28,79,282,80
3,A.J.,Green,5,18,76,210,WR,89,88,74,92,34,16,19,15,40,35,41,84,89,88,26,15,90,0,0,0,0,32,80,310,90
4,Tyler,Boyd,5,83,74,203,WR,89,73,75,89,43,38,23,22,39,24,52,87,91,87,20,15,85,1,0,0,0,25,98,142,56
5,John,Ross,5,11,71,194,WR,96,79,67,78,38,10,20,23,27,26,35,83,76,93,24,18,84,0,0,1,1,24,89,271,98
6,Auden,Tate,5,19,77,228,WR,85,77,75,81,32,15,17,12,30,31,30,91,75,78,16,25,83,0,1,0,0,23,92,157,52
7,Alex,Erickson,5,12,72,195,WR,87,68,72,83,45,37,20,22,52,33,49,88,79,91,20,12,81,1,0,1,0,27,89,12,51
8,C.J.,Uzomah,1,87,78,265,TE,84,64,74,79,58,38,22,15,49,54,49,88,71,78,15,12,79,1,1,1,0,27,93,248,73
9,Jonah,Williams,1,73,76,302,OL,69,15,43,34,77,6,14,16,30,39,30,87,78,71,17,44,88,0,0,0,0,22,87,178,62
10,Billy,Price,1,53,76,305,OL,66,5,26,21,71,6,17,13,10,33,23,87,66,65,12,20,87,0,1,0,0,25,92,166,69
11,Trey,Hopkins,1,66,75,316,OL,62,5,40,45,73,6,25,25,15,35,30,91,81,54,12,12,75,0,0,0,0,28,90,196,98
12,Alex,Redmond,1,62,77,320,OL,63,7,45,40,70,6,25,25,20,30,30,78,77,61,13,20,77,0,1,0,0,25,80,39,86
13,Bobby,Hart,1,68,77,310,OL,51,5,45,42,71,6,25,21,40,40,35,93,84,51,12,20,75,0,0,0,1,26,81,66,65
14,Carlos,Dunlap,5,96,78,285,DL,82,31,41,49,34,6,8,10,81,85,10,86,87,82,45,72,82,0,0,0,0,31,97,187,97
15,Geno,Atkins,5,97,73,300,DL,77,25,40,25,42,6,20,20,89,84,25,85,93,70,20,85,84,1,0,0,1,32,78,44,77
16,D.J.,Reader,5,99,75,347,DL,65,10,30,29,41,6,17,17,87,86,24,88,89,60,22,79,77,1,0,0,0,26,86,313,80
17,Carl,Lawson,5,58,74,261,DL,83,31,27,31,33,6,14,12,65,81,12,82,78,82,41,76,76,1,0,0,0,25,86,280,73
18,Carlos,Dunlap,5,96,78,285,DL,82,31,41,49,34,6,8,10,81,85,10,86,87,82,45,72,82,0,1,1,0,31,79,65,93
19,Logan,Wilson,5,55,74,241,LB,85,33,60,67,34,16,70,55,71,84,30,94,75,83,64,83,92,1,0,1,0,24,85,13,59
20,Germaine,Pratt,5,57,74,240,LB,87,53,47,60,38,6,28,18,66,85,25,83,69,79,64,81,86,1,0,0,0,24,88,289,62
21,Akeem,Davis-Gaither,5,59,74,224,LB,88,38,62,58,30,11,25,19,65,77,30,86,67,86,63,82,90,0,0,0,0,22,80,122,58
22,William,Jackson,5,22,72,196,DB,93,72,68,70,13,6,18,17,56,51,31,88,81,87,80,74,91,1,0,0,1,27,80,113,72
23,Trae,Waynes,5,26,72,190,DB,93,55,54,71,28,6,15,14,61,51,25,88,79,86,76,40,93,1,0,0,0,28,87,3,98
