INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Baker,Mayfield,1,6,73,218,QB,83,70,63,49,18,87,20,16,28,32,95,83,83,84,11,25,91,1,0,0,0,25,95,330,59
1,Nick,Chubb,5,24,71,227,RB,92,98,97,63,38,18,17,12,29,29,26,94,97,83,14,35,86,0,0,1,0,24,98,189,99
2,Kareem,Hunt,1,27,71,216,RB,90,90,96,68,43,21,24,16,29,31,27,87,84,92,21,24,88,0,1,1,1,25,89,266,61
3,Odell,Beckham Jr,1,13,71,198,WR,93,84,73,92,38,43,75,53,45,40,67,88,86,98,20,15,82,1,1,1,1,27,74,325,76
4,Jarvis,Landry,5,80,71,196,WR,89,84,75,89,37,47,16,17,45,47,65,95,91,92,12,62,91,1,0,0,0,27,80,193,61
5,Rashard,Higgins,3,82,73,198,WR,86,72,69,84,31,12,23,22,36,31,29,83,82,84,20,15,90,1,1,0,1,25,79,246,57
6,Marvin,Hall Jr,5,18,70,190,WR,92,74,70,77,28,31,23,22,28,26,47,83,72,87,20,22,85,0,1,0,0,27,74,116,61
7,Donovan,Peoples-Jones,5,11,74,212,WR,90,73,74,81,33,17,18,16,37,32,33,83,74,85,21,33,87,0,0,0,0,21,77,248,76
8,Austin,Hooper,1,81,76,254,TE,82,64,75,85,62,11,21,19,29,34,26,96,92,83,17,27,90,1,0,1,0,25,73,35,99
9,Jedrick,Wills Jr,1,71,76,312,OL,71,8,27,26,82,7,19,28,28,29,21,91,88,72,14,25,91,0,0,0,0,21,91,164,82
10,Joel,Bitonio,1,75,76,320,OL,72,12,40,19,86,8,24,21,10,30,16,88,91,74,16,31,92,0,0,0,1,28,94,243,66
11,J.C.,Tretter,1,64,76,307,OL,68,15,65,62,84,22,19,18,22,32,41,88,93,69,12,12,85,1,0,0,0,29,85,316,68
12,Wyatt,Teller,1,77,76,314,OL,64,28,40,30,87,24,18,12,45,50,40,87,94,68,9,43,92,1,0,1,0,25,74,166,61
13,Jack,Conklin,1,78,78,308,OL,72,7,29,18,81,6,18,19,26,34,22,88,88,63,12,24,92,0,0,1,1,26,97,236,61
14,Olivier,Vernon,5,54,74,262,DL,80,10,40,34,47,7,15,24,78,85,28,82,91,74,51,74,82,0,0,1,0,29,90,130,84
15,Sheldon,Richardson,5,98,75,294,DL,70,10,70,38,50,6,25,23,78,89,28,81,86,72,39,86,89,1,0,0,1,29,91,47,64
16,Larry,Ogunjobi,5,65,75,305,DL,75,18,31,31,48,6,17,17,76,79,23,86,85,77,27,79,90,0,0,1,1,26,76,214,73
17,Myles,Garrett,5,95,76,272,DL,85,34,55,32,46,25,20,20,89,91,55,88,98,83,50,81,87,0,0,0,0,24,74,215,93
18,Malcolm,Smith,5,56,72,225,LB,83,49,39,45,46,7,20,20,75,82,27,77,67,78,57,77,85,1,0,0,0,31,81,184,93
19,B.J.,Goodson,1,93,73,242,LB,82,28,53,40,44,8,12,10,73,89,14,86,76,80,58,83,89,0,0,0,1,27,93,76,66
20,Tae,Davis,5,55,73,224,LB,80,25,53,42,44,16,17,12,64,79,21,82,72,80,54,76,86,1,0,1,0,24,80,241,88
21,Jacob,Phillips,5,50,75,229,LB,84,31,47,51,48,7,20,20,71,84,24,86,64,72,54,80,90,1,0,0,0,21,90,216,50
22,Denzel,Ward,5,21,71,190,DB,95,60,66,61,34,10,18,13,50,51,31,96,86,95,88,69,88,0,0,0,0,23,84,169,55
23,Greedy,Williams,5,26,74,185,DB,93,52,63,64,28,10,20,17,48,56,35,87,70,87,74,52,89,0,0,1,0,22,76,204,76
24,Ronnie,Harrison Jr,5,33,75,214,DB,86,44,69,61,36,8,14,11,61,74,23,91,82,84,77,89,87,0,0,1,0,23,95,105,88
