INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Dak,Prescott,1,4,74,238,QB,82,75,67,27,29,89,26,22,29,42,89,95,88,84,15,40,95,0,0,1,1,28,92,315,71
1,Ezekiel,Elliott,1,21,72,228,RB,89,86,83,63,47,24,21,20,32,59,35,98,91,94,16,42,97,1,0,0,0,26,98,311,77
2,Tony,Pollard,1,20,72,210,RB,93,80,86,62,33,14,14,10,30,38,25,85,77,84,38,30,89,0,0,0,1,24,86,310,92
3,Amari,Cooper,5,19,73,210,WR,91,86,72,91,35,17,25,21,35,25,45,94,92,95,20,15,83,1,0,0,1,27,97,238,98
4,Michael,Gallup,5,13,73,198,WR,91,79,77,85,29,14,19,15,28,32,25,86,86,88,17,28,91,1,0,0,1,25,78,249,56
5,CeeDee,Lamb,5,88,74,189,WR,90,82,75,85,33,27,48,33,30,38,37,90,85,90,21,29,93,1,0,1,0,22,94,127,73
6,Cedrick,Wilson,5,1,74,200,WR,88,70,71,81,29,39,16,11,24,28,51,82,68,86,19,18,88,0,1,0,0,25,91,76,96
7,Noah,Brown,5,85,74,225,WR,86,68,72,83,42,23,22,20,45,45,33,81,70,85,20,44,86,0,0,0,0,25,91,65,71
8,Dalton,Schultz,1,86,77,244,TE,81,58,72,80,63,10,16,14,31,29,24,79,75,81,13,27,91,0,0,1,0,25,75,262,64
9,Tyron,Smith,5,77,77,320,OL,72,11,55,47,90,7,25,21,40,45,35,88,92,77,12,20,76,0,0,0,1,30,78,159,71
10,Connor,Williams,1,52,77,298,OL,71,20,27,19,75,7,17,13,35,33,16,82,78,60,12,37,85,0,1,0,0,24,77,108,71
11,Tyler,Biadasz,1,63,75,314,OL,60,9,28,17,71,7,48,43,36,37,21,86,82,58,13,47,84,1,1,1,1,23,76,139,76
12,Zack,Martin,5,70,76,315,OL,69,5,40,20,95,7,9,14,27,28,29,93,97,64,10,20,94,0,0,0,0,30,93,99,53
13,La'el,Collins,5,71,76,320,OL,70,8,40,17,87,7,24,22,15,34,25,85,94,64,13,20,87,1,1,1,1,28,65,147,69
14,DeMarcus,Lawrence,5,90,75,265,DL,80,10,42,27,46,7,19,19,89,85,25,84,86,81,44,84,85,0,0,0,0,29,79,212,79
15,Brent,Urban,5,95,79,295,DL,74,22,48,29,45,7,17,25,81,80,25,72,81,69,27,77,73,1,0,0,0,30,83,110,55
16,Neville,Gallimore,5,96,74,304,DL,79,12,38,27,48,6,20,15,73,81,29,79,71,74,20,78,92,1,0,0,0,24,92,37,98
17,Randy,Gregory,5,94,78,255,DL,82,41,55,36,45,8,26,19,68,77,24,68,74,86,41,78,84,0,0,0,0,28,83,24,77
18,Jaylon,Smith,5,9,74,245,LB,87,23,45,39,45,6,19,19,70,83,25,81,80,84,69,91,85,1,0,0,0,26,89,306,93
