INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Drew,Lock,1,3,76,228,QB,83,56,57,35,16,80,18,12,20,22,88,77,73,80,15,19,87,0,0,0,1,23,90,244,80
1,Melvin,Gordon III,5,25,73,215,RB,91,85,87,65,34,13,22,21,40,42,35,90,87,91,15,40,89,1,0,0,0,27,98,38,63
2,Phillip,Lindsay,5,30,68,190,RB,93,81,98,57,32,13,17,14,35,34,26,93,78,91,23,21,86,1,0,1,1,26,87,201,74
3,Courtland,Sutton,5,14,75,218,WR,89,79,76,90,37,48,19,15,31,33,62,89,79,92,26,22,90,0,0,1,0,24,77,178,68
4,Jerry,Jeudy,5,10,73,193,WR,91,77,75,80,28,17,19,17,28,33,27,89,81,93,27,26,90,0,0,0,0,21,90,6,73
5,Tim,Patrick,5,81,76,210,WR,90,69,69,87,36,16,19,15,28,35,36,77,82,85,23,27,77,1,0,0,1,26,84,162,68
6,K.J.,Hamler,5,13,69,178,WR,94,74,73,78,25,18,18,14,23,24,30,83,68,93,17,22,85,1,1,0,0,21,82,332,74
7,DaeSean,Hamilton,5,17,73,203,WR,88,73,75,80,29,16,20,20,28,28,25,84,74,88,17,16,92,1,0,0,0,25,84,21,55
8,Noah,Fant,5,87,76,249,TE,89,67,76,83,55,13,17,12,38,41,28,78,82,89,19,26,89,0,0,0,0,22,84,322,87
9,Garett,Bolles,5,72,77,297,OL,74,17,29,30,84,7,22,20,34,38,25,93,93,74,13,42,87,0,0,0,0,28,75,282,94
10,Dalton,Risner,5,66,77,312,OL,62,10,34,21,79,6,18,12,36,44,26,82,87,61,12,41,85,0,0,0,1,25,91,245,61
11,Lloyd,Cushenberry III,1,79,75,312,OL,63,9,30,17,73,7,22,21,23,22,22,86,79,57,13,22,91,1,1,1,0,22,89,102,54
12,Graham,Glasgow,5,61,78,308,OL,67,8,27,16,77,7,20,20,26,29,24,87,84,67,13,31,89,0,0,0,0,28,96,45,86
13,Ja'Wuan,James,1,70,78,312,OL,59,5,40,15,79,8,20,21,20,30,15,86,85,68,13,35,88,1,0,1,1,28,91,206,80
14,Jurrell,Casey,1,99,73,305,DL,70,10,40,19,47,8,15,14,82,88,15,84,84,75,25,86,90,0,0,1,1,30,79,269,85
15,Mike,Purcell,5,98,75,328,DL,64,10,52,21,48,21,18,20,76,77,38,75,73,66,24,75,86,0,1,1,0,29,95,229,50
16,Sylvester,Williams,5,73,74,328,DL,69,10,44,18,47,8,15,14,68,76,29,70,69,59,19,79,93,1,0,1,0,31,73,56,80
17,Shelby,Harris,1,96,74,290,DL,74,10,45,21,46,7,19,21,81,86,24,72,86,68,22,77,90,1,0,1,1,29,93,185,57
