INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Matthew,Stafford,1,9,75,220,QB,73,54,63,26,21,86,28,25,28,28,94,89,85,73,16,12,93,0,0,0,0,32,93,128,80
1,Kerryon,Johnson,5,33,71,211,RB,88,87,92,69,43,23,19,15,26,32,37,85,84,85,15,30,90,0,0,0,0,23,95,35,98
2,D'Andre,Swift,5,36,68,212,RB,89,75,83,70,39,23,18,12,28,31,36,86,72,90,14,30,87,0,1,0,0,21,88,232,80
3,Kenny,Golladay,5,19,76,213,WR,90,78,75,91,40,24,24,21,33,30,36,88,88,88,24,46,84,1,0,1,0,26,75,59,69
4,Marvin,Jones,5,11,74,198,WR,89,81,81,90,42,20,25,24,35,32,35,89,90,88,17,12,87,1,0,1,0,30,82,84,59
5,Danny,Amendola,5,80,71,190,WR,84,79,71,88,32,33,28,24,35,25,43,81,88,86,17,15,93,0,1,0,0,34,78,11,75
6,Geronimo,Allison,5,18,75,202,WR,87,74,72,82,39,10,38,41,35,38,35,87,81,83,17,12,82,1,0,1,0,26,94,239,98
7,Marvin,Hall,5,17,70,190,WR,92,74,70,81,34,35,23,22,28,26,47,85,75,87,20,22,83,1,0,1,1,27,81,21,90
8,T.J.,Hockenson,5,88,77,251,TE,82,66,75,84,60,15,38,34,47,46,28,91,72,84,32,51,83,1,0,1,1,23,80,250,68
9,Taylor,Decker,1,68,79,318,OL,64,6,28,32,77,6,18,19,26,34,22,91,88,60,12,70,88,0,0,0,0,26,87,171,82
10,Joe,Dahl,1,66,76,305,OL,66,9,40,22,72,6,22,20,25,42,22,90,77,62,10,35,89,1,0,1,0,27,82,241,65
11,Frank,Ragnow,1,77,77,308,OL,73,16,29,23,83,6,19,16,27,29,17,89,86,58,10,30,92,0,0,0,0,24,90,263,55
12,Jonah,Jackson,5,73,76,306,OL,65,5,31,29,71,6,14,12,29,37,11,86,74,57,12,20,81,0,0,0,1,23,87,221,75
13,Halapoulivaati,Vaitai,5,72,78,320,OL,63,8,21,23,73,6,18,13,40,37,26,91,70,67,11,65,86,0,0,0,0,27,91,135,71
14,Da'Shawn,Hand,3,93,75,297,DL,78,17,28,27,36,6,33,16,81,83,22,87,82,58,24,79,73,0,1,0,0,24,71,19,52
15,Danny,Shelton,5,71,74,345,DL,51,10,40,25,46,6,35,25,80,85,27,90,88,56,17,81,68,1,0,0,0,27,84,209,75
16,Nick,Williams,5,97,76,308,DL,72,10,40,23,33,6,15,11,73,77,19,93,68,72,31,76,67,0,0,0,0,30,88,136,55
17,Trey,Flowers,5,90,74,265,DL,77,15,42,32,36,6,30,30,85,87,35,94,89,77,27,76,77,1,0,1,1,27,73,26,54
18,Jamie,Collins,5,58,75,255,LB,84,10,56,68,38,46,13,15,78,82,48,95,90,84,69,85,85,0,1,0,0,30,85,260,76
19,Jahlani,Tavai,3,51,74,250,LB,83,51,54,62,36,6,15,19,75,82,25,84,72,80,60,84,88,1,0,1,1,23,88,60,96
20,Jarrad,Davis,5,40,73,245,LB,85,10,48,53,38,6,21,20,74,79,17,85,72,80,48,87,91,0,1,0,0,24,99,30,98
21,Christian,Jones,5,52,75,255,LB,80,10,59,61,37,6,14,12,72,83,15,94,76,84,52,83,85,1,0,0,1,29,74,84,67
22,Justin,Coleman,5,27,71,190,DB,88,53,58,64,28,6,19,18,62,60,32,89,88,93,85,45,90,0,0,1,0,27,88,176,74
23,Desmond,Trufant,5,23,72,190,DB,91,63,54,71,29,6,25,25,55,71,22,95,81,94,81,42,93,1,0,0,0,29,94,0,83
24,Tracy,Walker,5,21,73,206,DB,89,23,68,71,28,11,15,11,48,71,23,90,82,83,76,75,89,1,0,0,0,25,76,132,100
25,Duron,Harmon,5,26,73,205,DB,87,29,64,71,29,6,21,21,46,67,22,92,90,82,80,77,88,1,0,0,0,29,93,42,55
26,Jeff,Okudah,5,28,73,205,DB,90,54,64,60,22,11,15,12,50,61,21,89,78,88,76,58,91,1,0,1,0,21,76,238,92
27,Darryl,Roberts,5,29,72,182,DB,92,60,52,58,29,6,15,12,46,55,10,85,72,93,72,62,88,1,0,0,0,29,97,72,77
28,Matt,Prater,1,5,70,201,K,72,5,40,35,18,32,97,90,10,20,45,85,67,46,17,12,75,0,0,0,0,36,74,27,75
29,Jack,Fox,1,3,74,224,P,81,5,39,23,16,21,92,69,29,29,38,90,45,67,15,12,83,0,0,1,1,24,89,294,86
