INDEX,FIRST,LAST,SKIN,NUMBER,Height,Weight,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Aaron,Rodgers,1,12,74,225,QB,77,65,63,47,19,89,15,18,19,19,94,90,92,82,16,12,97,1,0,0,0,36,95,241,94
1,Aaron,Jones,5,33,69,208,RB,91,83,93,71,44,28,21,20,23,20,30,84,89,94,17,24,92,1,0,1,1,25,96,316,55
2,Jamaal,Williams,5,30,72,213,RB,88,80,96,71,57,23,15,11,22,34,28,86,83,87,23,29,88,1,0,0,0,25,90,329,74
3,Davante,Adams,5,17,73,215,WR,89,80,76,94,37,10,25,30,52,42,45,93,97,90,21,15,96,1,0,1,0,27,92,247,96
4,Devin,Funchess,5,11,76,206,WR,88,77,78,86,44,10,18,15,48,35,35,88,82,84,20,15,85,1,0,1,0,26,80,224,96
5,Marquez,Valdes-Scantling,3,83,77,227,WR,93,69,76,85,33,15,15,19,27,29,24,90,72,88,13,22,83,1,0,1,0,25,82,235,100
6,Allen,Lazard,4,13,71,186,WR,87,72,75,83,47,10,18,13,40,35,21,81,78,81,20,15,83,1,1,0,0,24,85,181,100
7,Jake,Kumerow,5,16,77,214,WR,87,73,66,84,47,16,19,15,28,35,36,82,74,87,23,27,77,1,0,1,1,28,83,7,70
8,Marcedes,Lewis,1,89,77,237,TE,73,54,79,81,66,10,39,37,45,35,40,85,75,73,12,25,86,0,0,1,0,36,26,6,50
9,David,Bakhtiari,1,69,76,310,OL,70,5,22,40,89,6,20,20,20,40,22,89,98,69,10,25,85,0,1,0,0,28,81,113,54
10,Elgton,Jenkins,3,74,75,324,OL,69,11,25,26,81,6,19,14,34,36,24,93,90,63,13,28,84,0,0,0,0,24,80,200,78
11,Corey,Linsley,1,63,75,301,OL,69,6,39,35,79,6,22,22,10,29,26,87,90,66,12,12,82,1,1,1,0,29,75,93,73
12,Billy,Turner,4,77,77,310,OL,65,5,40,35,69,6,15,12,25,34,11,93,78,57,12,28,79,0,0,0,0,28,79,21,100
13,Rick,Wagner,5,71,77,311,OL,64,5,55,54,81,6,20,20,30,35,17,84,84,58,16,34,86,0,0,0,0,30,92,184,75
14,Dean,Lowry,1,94,78,296,DL,76,16,47,48,36,6,21,19,75,84,22,91,78,72,26,79,78,1,0,0,0,26,80,327,76
15,Kenny,Clark,5,97,75,314,DL,70,14,34,24,41,6,17,17,92,86,23,91,92,65,35,82,86,1,1,1,1,24,80,282,56
16,Tyler,Lancaster,1,95,75,313,DL,72,16,30,22,40,5,16,13,73,79,29,86,71,69,17,71,69,1,0,1,1,25,91,314,61
17,Montravius,Adams,5,90,76,304,DL,76,12,49,52,34,6,8,6,58,76,10,94,59,73,26,79,75,1,1,1,0,25,85,9,66
18,Za'Darius,Smith,5,55,77,265,LB,80,10,45,46,34,6,15,21,73,82,19,89,95,73,51,83,86,1,1,0,1,27,93,293,66
19,Christian,Kirksey,5,58,75,233,LB,85,15,57,70,36,6,20,20,73,82,30,92,83,80,53,76,88,1,0,1,0,28,95,110,65
20,Oren,Burks,5,42,74,229,LB,86,21,63,69,36,6,18,13,63,78,16,88,61,86,65,83,86,1,0,1,0,25,73,186,58
21,Preston,Smith,5,91,76,272,LB,82,10,57,59,35,6,37,30,71,82,20,93,89,81,57,80,86,1,0,0,0,27,84,89,75
22,Jaire,Alexander,4,23,70,196,DB,93,64,62,68,27,6,22,13,54,55,26,87,92,94,89,58,95,1,1,1,0,23,80,100,73
