INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Deshaun,Watson,1,4,74,221,QB,84,79,64,51,28,85,25,27,22,34,91,89,83,89,17,22,94,0,0,0,0,24,96,63,88
1,Duke,Johnson,5,25,69,210,RB,89,82,82,75,41,23,22,25,32,36,40,88,80,93,12,20,83,0,1,0,0,26,97,291,50
2,David,Johnson,5,31,73,224,RB,88,85,88,71,47,20,20,17,12,25,25,86,81,86,12,15,90,0,0,0,0,28,86,151,87
3,Brandin,Cooks,5,13,70,183,WR,94,73,74,88,34,10,21,20,32,25,34,86,86,94,21,15,87,0,0,0,1,26,77,14,72
4,Will,Fuller,5,15,72,185,WR,95,77,78,85,40,10,23,22,21,28,35,82,85,87,20,15,82,1,0,1,1,26,96,212,52
5,Kenny,Stills,5,12,73,202,WR,91,80,77,89,38,20,19,20,34,29,30,92,85,85,16,12,84,1,0,0,0,28,87,0,65
6,Randall,Cobb,5,18,70,192,WR,90,81,73,81,36,49,35,30,35,35,65,87,85,90,19,12,86,0,1,0,0,30,76,42,91
7,Keke,Coutee,5,16,71,180,WR,91,75,74,81,31,15,17,12,18,24,25,89,76,88,14,18,83,1,0,0,1,23,92,50,72
8,Darren,Fells,1,87,79,270,TE,76,50,76,82,62,10,15,14,44,45,35,90,84,80,18,25,77,0,0,0,0,34,85,264,87
9,Laremy,Tunsil,5,78,77,316,OL,64,12,31,26,84,6,20,17,27,35,22,92,90,77,12,26,89,1,0,1,0,26,64,103,58
10,Max,Scharping,5,74,78,327,OL,63,6,40,35,75,6,25,25,39,42,30,86,75,63,13,30,90,0,0,0,1,24,95,299,86
11,Nick,Martin,3,66,76,295,OL,64,8,36,26,75,6,25,25,20,33,27,85,84,65,13,47,89,0,0,0,1,27,99,287,74
12,Zach,Fulton,1,73,77,321,OL,66,5,25,20,75,6,20,20,20,35,20,92,79,54,13,20,74,0,0,0,0,28,72,192,59
13,Tytus,Howard,5,71,77,322,OL,71,37,24,28,77,37,20,16,24,23,53,86,84,63,13,28,83,0,0,0,0,24,78,151,72
14,J.J.,Watt,1,99,77,288,DL,77,22,67,78,38,6,10,10,91,98,20,83,99,85,26,87,89,0,1,0,0,31,83,179,61
15,Charles,Omenihu,5,94,77,280,DL,75,23,41,46,35,6,15,15,72,76,28,89,75,77,41,78,72,0,0,1,0,23,78,71,51
16,Brandon,Dunn,5,92,74,310,DL,65,10,42,41,41,6,20,15,67,79,36,90,79,60,22,78,69,0,0,0,0,27,91,110,72
17,Ross,Blacklock,5,90,75,290,DL,76,14,38,31,36,6,18,13,76,81,20,85,72,72,22,81,75,1,0,1,1,22,94,12,69
