INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Philip,Rivers,1,17,77,228,QB,65,31,63,14,12,88,15,12,22,22,83,91,92,59,22,12,98,0,1,0,0,38,96,166,59
1,Marlon,Mack,5,25,72,210,RB,89,85,91,67,33,23,25,22,26,28,31,91,84,92,12,18,86,1,1,0,0,24,97,12,73
2,Jonathan,Taylor,5,28,70,226,RB,93,83,92,66,32,18,17,15,25,27,29,91,82,84,15,25,90,0,0,1,1,21,88,286,71
3,T.Y.,Hilton,5,13,70,183,WR,92,80,70,85,29,12,15,14,35,20,22,86,86,94,17,15,89,1,0,0,0,30,74,185,80
4,Zach,Pascal,5,14,74,219,WR,87,73,75,83,37,24,23,18,28,31,46,85,83,86,18,28,86,1,0,0,1,25,89,314,59
5,Michael,Pittman Jr,5,11,76,223,WR,87,76,76,84,40,33,22,15,41,55,48,85,77,85,17,42,86,0,0,1,0,22,81,9,95
6,Parris,Campbell,5,15,72,205,WR,94,72,73,80,36,11,14,12,41,38,26,82,72,91,20,23,87,1,1,0,0,23,88,93,99
7,Ashton,Dulin,1,16,73,215,WR,91,73,74,80,30,18,18,14,26,27,35,82,62,89,14,23,90,1,0,1,1,23,87,52,83
8,Trey,Burton,5,80,74,238,TE,85,78,72,81,65,50,25,24,39,48,68,89,77,87,23,12,95,0,0,0,1,28,85,229,74
9,Anthony,Castonzo,1,74,79,311,OL,61,10,35,30,83,8,21,11,40,42,16,86,82,74,12,35,85,0,0,1,0,32,75,131,70
10,Quenton,Nelson,1,56,77,329,OL,65,11,35,13,91,7,21,15,27,34,27,91,99,70,9,28,97,0,1,1,1,24,81,267,61
11,Ryan,Kelly,1,78,76,309,OL,71,7,25,21,84,7,20,20,26,32,24,87,91,70,13,38,90,0,0,0,0,27,96,305,84
12,Mark,Glowinski,5,64,76,310,OL,67,5,40,15,77,6,18,16,15,35,12,85,88,65,14,20,92,0,0,1,1,28,80,204,95
13,Braden,Smith,1,72,78,315,OL,66,8,29,13,83,7,14,14,20,55,22,90,89,62,13,62,91,0,0,0,0,24,87,236,79
14,Denico,Autry,5,96,77,285,DL,70,10,45,21,45,8,17,11,73,82,14,76,88,70,26,73,88,1,1,0,0,30,95,307,95
15,DeForest,Buckner,1,99,79,300,DL,72,13,44,26,49,8,20,19,88,87,22,85,95,84,37,87,91,1,1,1,1,26,76,199,50
16,Grover,Stewart,5,90,76,315,DL,68,12,26,23,49,6,15,15,81,88,19,73,86,61,28,75,93,0,1,0,0,26,77,288,62
17,Justin,Houston,5,50,75,270,DL,80,10,40,27,47,7,37,16,78,84,36,83,86,81,60,89,88,0,0,0,1,31,91,210,66
18,Darius,Leonard,5,53,74,215,LB,86,36,58,58,47,7,21,15,82,93,19,91,93,83,60,84,93,1,1,0,1,25,92,94,86
19,Anthony,Walker Jr,5,54,73,230,LB,84,29,61,63,46,6,14,22,72,86,24,90,80,79,55,77,93,1,1,0,0,25,76,198,82
20,Skai,Moore,5,55,74,225,LB,81,22,60,53,45,7,19,12,67,79,25,88,60,80,59,76,85,0,1,0,0,25,89,209,84
21,Bobby,Okereke,5,58,73,239,LB,88,19,47,39,44,7,17,14,72,81,25,88,85,83,68,80,90,1,1,0,0,24,84,283,97
22,Kenny,Moore II,5,23,69,190,DB,89,51,53,69,33,6,21,24,63,64,17,89,88,90,84,56,88,1,1,1,1,25,81,91,73
