INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Gardner,Minshew II,1,15,73,225,QB,78,56,60,19,18,80,20,16,24,31,85,80,71,79,12,31,92,0,1,1,1,24,85,282,99
1,James,Robinson,5,30,69,219,RB,86,89,94,60,44,11,25,25,25,45,41,93,87,83,19,20,89,1,0,1,1,22,82,120,99
2,Chris,Thompson,5,34,68,191,RB,90,76,85,70,35,23,22,21,32,35,29,81,73,90,17,12,79,0,0,0,1,29,76,327,99
3,D.J.,Chark Jr,5,17,76,198,WR,94,72,73,86,27,15,19,15,21,27,28,86,83,85,13,17,90,1,1,1,0,23,85,171,54
4,Keelan,Cole Sr,5,84,73,195,WR,90,75,73,84,32,13,19,19,28,26,23,86,80,90,21,18,90,0,0,1,0,27,86,185,97
5,Dede,Westbrook,5,12,72,178,WR,93,78,70,82,25,23,22,24,28,23,32,87,75,94,21,31,82,0,0,0,0,26,91,300,85
6,Laviska,Shenault Jr,5,10,73,227,WR,88,82,78,84,37,25,20,14,53,52,39,81,79,88,28,55,85,1,0,0,1,21,80,67,87
7,Chris,Conley,5,18,75,205,WR,92,67,73,82,37,21,20,20,35,35,35,84,80,83,22,15,90,1,0,1,0,27,81,254,68
8,Tyler,Eifert,1,88,78,255,TE,81,71,78,84,60,11,22,21,50,35,41,90,72,82,19,25,76,1,0,1,1,29,81,136,85
9,Cam,Robinson,5,74,78,320,OL,67,8,27,26,77,7,19,28,38,29,21,91,84,62,14,42,93,0,0,0,0,24,80,298,73
10,Andrew,Norwell,1,68,78,325,OL,61,6,40,23,82,7,18,22,54,45,22,82,91,49,20,55,91,0,0,1,0,28,84,289,69
11,Brandon,Linder,1,65,78,315,OL,61,8,35,19,85,6,12,12,33,33,20,79,86,59,12,12,92,0,0,0,0,28,89,10,78
12,A.J.,Cann,5,60,75,325,OL,55,5,39,21,76,7,14,12,25,35,11,76,91,56,12,20,93,0,1,1,0,28,78,70,55
13,Jawaan,Taylor,5,75,77,312,OL,65,6,30,19,75,6,22,20,36,38,19,79,80,68,12,43,90,0,1,0,0,22,80,244,70
14,Josh,Allen,5,41,77,262,DL,86,37,67,64,45,6,15,17,73,83,24,81,77,83,56,82,93,1,0,0,1,23,75,8,71
15,Al,Woods,4,97,76,330,DL,68,10,25,22,48,7,19,22,76,84,20,71,72,67,20,60,88,0,0,0,0,33,74,14,62
16,Davon,Hamilton,5,52,76,320,DL,69,14,36,21,48,7,18,19,74,80,22,71,72,68,19,79,90,1,0,0,1,23,81,212,73
17,Dawuane,Smoot,5,94,75,264,DL,80,18,28,25,45,7,20,15,70,76,20,76,73,84,30,81,91,1,1,0,1,25,84,145,94
18,Leon,Jacobs,5,48,74,245,LB,88,24,51,46,47,7,18,14,66,82,23,81,62,79,58,83,85,0,0,0,1,24,97,300,84
