INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Patrick,Mahomes,1,15,75,230,QB,81,76,63,33,15,95,20,10,24,26,97,96,97,88,18,18,95,0,0,0,1,24,97,331,82
1,Clyde,Edwards-Helaire,5,25,67,207,RB,86,83,94,65,30,28,21,17,24,26,37,88,83,89,13,23,89,1,0,1,0,21,96,234,99
2,Damien,Williams,5,26,71,224,RB,90,84,88,73,43,23,17,11,22,35,28,89,81,88,14,12,89,0,0,0,1,28,87,240,99
3,Tyreek,Hill,1,10,70,185,WR,99,85,80,91,27,20,13,15,21,27,36,91,97,98,15,25,88,1,0,0,0,26,99,326,56
4,Sammy,Watkins,5,14,73,211,WR,91,83,74,85,31,25,24,24,40,25,40,87,84,88,19,15,82,1,1,1,1,27,80,140,58
5,Mecole,Hardman,5,17,70,187,WR,97,75,72,80,21,39,44,32,41,45,59,85,80,92,43,31,85,1,1,0,0,22,82,214,68
6,Demarcus,Robinson,1,11,73,203,WR,89,73,75,82,32,18,23,22,22,23,24,85,80,92,20,15,89,0,0,0,1,25,76,324,94
7,Antonio,Callaway,5,85,71,197,WR,92,77,68,78,23,20,17,12,22,26,29,76,56,87,15,18,88,1,0,1,0,23,95,41,86
8,Travis,Kelce,1,87,77,260,TE,86,76,72,93,66,48,35,32,40,45,64,98,98,87,13,15,88,0,0,1,0,30,95,85,89
9,Eric,Fisher,5,72,79,315,OL,68,15,45,37,77,7,21,11,40,43,29,94,85,73,12,35,89,0,0,0,0,29,92,3,51
10,Kelechi,Osemele,1,70,77,330,OL,62,6,40,13,81,7,21,32,22,32,29,90,84,59,9,22,86,0,0,1,0,31,81,81,77
11,Austin,Reiter,1,62,75,300,OL,65,5,40,18,76,6,15,14,27,38,15,84,90,67,10,25,91,0,1,0,1,28,94,295,58
12,Laurent,Duvernay-Tardif,1,76,77,321,OL,71,5,65,31,79,7,20,21,25,45,17,85,83,69,12,15,93,0,0,0,0,29,84,179,95
13,Mitchell,Schwartz,3,71,77,320,OL,58,5,40,19,87,8,15,12,25,35,11,88,96,62,12,20,97,0,1,0,1,31,84,16,74
14,Alex,Okafor,5,57,76,261,DL,73,20,55,33,44,8,16,11,75,83,14,80,81,72,44,83,87,1,0,0,0,29,87,112,65
15,Chris,Jones,4,95,78,310,DL,71,10,29,19,47,8,17,17,84,84,23,80,96,74,26,81,90,0,0,1,0,26,95,233,87
16,Derrick,Nnadi,5,91,73,312,DL,63,16,27,18,48,8,17,12,85,79,24,81,88,60,23,79,89,0,1,0,1,24,92,186,92
17,Frank,Clark,5,55,75,260,DL,83,16,56,31,47,8,22,19,67,75,27,80,88,80,40,82,86,0,1,0,1,27,95,325,66
18,Dorian,O'Daniel,5,44,73,223,LB,85,35,61,54,46,6,18,12,60,81,23,80,69,91,64,85,88,1,0,0,0,25,87,176,71
19,Anthony,Hitchens,5,53,72,235,LB,81,15,65,51,46,6,20,20,76,85,25,88,80,80,55,87,94,1,1,0,0,28,83,255,59
20,Ben,Niemann,1,56,74,235,LB,82,22,42,31,45,6,16,12,67,84,26,84,73,82,58,79,88,1,0,1,1,25,84,102,53
21,Damien,Wilson,5,54,72,243,LB,81,16,55,33,46,7,20,20,70,86,30,78,82,76,53,83,88,1,1,0,0,27,95,298,86
22,L'Jarius,Sneed,5,38,72,192,DB,94,60,68,67,32,7,22,24,60,64,27,89,80,87,78,75,89,0,1,0,1,23,86,115,91
23,Charvarius,Ward,5,35,73,200,DB,91,63,61,57,33,14,15,12,46,62,21,91,82,80,77,53,87,0,0,1,0,24,92,45,94
24,Tyrann,Mathieu,5,32,69,190,DB,90,77,68,73,35,23,25,22,59,76,35,92,98,92,91,84,84,1,0,0,0,28,77,127,70
25,Juan,Thornhill,5,22,72,205,DB,90,58,65,65,36,35,20,17,55,69,52,89,83,85,73,76,88,1,1,1,0,24,77,190,76
26,Rashad,Fenton,5,27,71,188,DB,88,54,52,58,28,7,18,17,54,61,22,91,77,84,78,57,88,0,0,0,0,23,93,85,89
27,Bashaud,Breeland,5,21,71,195,DB,88,44,59,59,34,6,22,17,48,61,20,93,77,85,74,68,89,1,0,0,1,28,82,198,67
28,Harrison,Butker,1,7,76,205,K,75,14,26,17,16,25,97,90,12,15,27,82,74,57,15,12,87,0,0,1,1,25,84,175,66
29,Dustin,Colquitt,1,2,75,210,P,67,5,40,17,16,25,87,82,29,29,40,90,58,55,13,12,95,0,1,0,0,38,84,187,94
30,Le'Veon,Bell,1,26,73,225,RB,87,82,88,75,48,32,20,22,54,55,40,97,80,92,15,45,86,0,1,0,0,28,93,55,86
31,Anthony,Sherman,1,42,70,242,FB,77,39,72,70,63,14,20,20,55,69,35,87,82,72,13,25,95,0,1,0,0,31,87,218,81
32,Mike,Pennel,1,64,76,332,DL,63,10,40,20,49,6,15,16,74,84,20,68,82,57,17,75,92,1,1,0,1,29,84,81,87
33,Daniel,Sorensen,5,49,74,208,DB,83,29,60,60,36,11,25,25,36,67,30,88,79,93,69,78,88,1,0,0,0,30,92,4,50
34,Taco,Charlton,1,94,78,273,DL,79,28,45,32,46,7,17,14,68,80,33,78,63,80,47,79,94,0,0,1,0,25,93,41,68
35,Tommy,Townsend,5,5,73,191,P,81,12,40,16,12,31,92,76,32,35,57,87,57,65,20,12,81,1,0,0,0,23,86,97,82
36,Darrel,Williams,1,31,72,224,RB,87,77,92,65,44,17,17,12,34,36,25,85,77,78,15,38,88,0,1,1,1,25,95,44,94
37,Khalen,Saunders,1,99,72,324,DL,73,21,49,41,49,7,18,12,75,77,25,69,73,71,22,77,90,0,0,0,0,24,64,117,87
38,Mike,Remmers,5,75,77,310,OL,64,6,45,25,73,7,25,25,20,35,30,84,85,63,13,20,89,0,1,0,1,31,81,43,84
39,DeAndre,Baker,3,30,71,180,DB,89,52,58,56,33,7,18,17,52,62,22,89,66,85,71,51,87,1,1,1,0,23,76,289,55
40,Tanoh,Kpassagnon,5,92,79,289,DL,79,23,44,42,46,6,15,29,72,77,15,74,68,77,46,84,88,0,0,1,1,26,75,44,77
41,Tershawn,Wharton,3,98,73,280,DL,78,17,27,18,46,6,20,20,73,80,25,81,69,73,24,80,86,1,0,0,0,22,85,53,94
42,Andrew,Wylie,5,77,78,309,OL,68,20,27,31,74,6,19,15,32,35,25,79,80,69,11,40,84,1,0,0,1,26,91,77,96
43,Byron,Pringle,5,13,73,203,WR,91,76,71,80,31,12,21,16,24,41,35,79,70,87,17,35,85,0,1,1,0,26,77,7,50
44,Willie,Gay,1,50,73,243,LB,88,55,56,56,46,8,28,18,65,81,25,86,70,81,61,86,87,1,1,0,0,22,78,122,76
45,Chad,Williams,5,81,73,204,WR,90,74,71,80,34,27,31,30,31,29,41,81,60,85,20,33,88,0,1,1,0,25,99,64,65
46,Ricky,Seals-Jones,3,83,77,243,TE,84,59,75,79,54,10,19,19,30,36,27,84,65,79,28,29,85,1,0,0,0,25,94,285,88
47,Daniel,Kilgore,5,67,75,291,OL,59,9,40,13,72,7,19,17,22,22,33,75,82,61,8,35,87,1,0,1,1,32,77,190,55
48,Darwin,Thompson,3,34,68,200,RB,89,73,86,62,28,14,24,20,23,27,23,84,64,85,17,23,90,0,0,1,0,23,87,11,81
49,Michael,Danna,1,51,74,257,DL,80,27,31,21,46,6,17,13,69,77,26,82,62,75,20,77,90,0,0,0,1,22,89,167,82
50,Stefen,Wisniewski,5,61,75,305,OL,59,8,40,27,71,7,33,36,16,35,33,84,77,63,10,20,94,1,0,1,1,31,95,95,56
51,Armani,Watts,5,23,71,205,DB,85,46,64,60,36,7,19,14,49,69,25,88,57,81,72,68,81,0,0,1,1,24,98,257,89
52,Lucas,Niang,1,67,78,315,OL,63,9,23,26,72,6,25,25,25,28,30,82,71,67,17,22,87,0,0,1,1,22,67,108,67
