INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Derek,Carr,1,4,75,210,QB,80,63,60,21,12,86,22,21,18,18,91,85,84,81,13,12,92,0,1,0,0,29,94,185,52
1,Josh,Jacobs,5,28,70,219,RB,87,92,95,63,40,27,15,10,28,34,36,95,93,87,26,25,84,0,1,0,0,22,97,325,92
2,Jalen,Richard,5,30,68,205,RB,90,80,82,65,38,19,21,20,26,39,27,88,76,86,16,23,88,1,0,1,0,26,90,76,99
3,Tyrell,Williams,5,16,76,205,WR,92,77,72,85,39,24,24,21,40,42,34,86,75,95,27,15,80,1,0,0,0,28,94,22,51
4,Nelson,Agholor,5,15,72,198,WR,91,83,74,83,27,33,41,31,25,21,41,85,80,93,20,15,89,1,0,0,0,27,84,315,95
5,Henry,Ruggs III,5,11,71,188,WR,98,71,73,82,29,40,21,18,38,41,51,84,70,87,20,31,89,1,1,0,1,21,79,189,75
6,Hunter,Renfrow,5,13,70,185,WR,86,69,76,85,28,33,42,34,46,44,44,89,83,87,36,41,86,1,0,0,0,24,72,101,81
7,Zay,Jones,5,12,74,200,WR,90,76,75,83,32,28,22,17,27,34,38,83,73,88,19,37,94,0,0,0,0,25,80,292,66
8,Darren,Waller,5,83,78,255,TE,90,73,74,89,56,10,22,14,35,32,35,91,95,84,15,15,91,0,0,0,0,27,78,302,94
9,Kolton,Miller,5,74,80,325,OL,75,13,30,17,80,7,10,12,31,31,12,84,87,72,14,30,87,1,0,0,1,24,80,269,85
10,Richie,Incognito,5,64,75,325,OL,70,9,40,20,88,7,8,9,25,25,14,87,95,60,14,25,87,0,1,1,1,37,81,242,80
11,Rodney,Hudson,5,61,74,315,OL,60,25,40,21,89,8,11,15,41,45,12,85,87,60,13,20,92,0,1,1,0,31,94,70,92
12,Gabe,Jackson,5,66,75,335,OL,53,5,30,22,80,8,22,20,35,35,19,82,88,61,12,25,92,0,0,1,0,29,90,232,51
13,Trent,Brown,5,77,80,380,OL,62,5,32,19,84,7,20,20,31,40,25,80,95,60,13,20,85,0,0,1,0,27,82,93,74
14,Maxx,Crosby,5,98,77,270,DL,83,27,41,33,45,6,17,12,74,76,22,82,84,82,27,78,90,0,1,0,0,23,79,269,84
15,Johnathan,Hankins,5,90,75,340,DL,59,10,45,20,47,8,11,10,78,83,10,78,89,63,24,65,90,1,0,1,0,28,76,207,97
16,Maurice,Hurst,5,73,74,291,DL,73,23,31,31,48,6,14,12,77,83,12,80,77,67,27,82,83,0,1,0,1,25,83,145,63
17,Clelin,Ferrell,5,96,76,265,DL,82,13,30,26,45,6,19,13,77,83,26,74,83,77,23,80,87,1,1,1,0,23,89,262,65
18,Nicholas,Morrow,5,50,72,224,LB,87,33,63,63,42,12,21,18,67,80,27,90,76,84,59,72,80,1,0,0,1,25,75,18,67
19,Nick,Kwiatkoski,5,44,74,243,LB,81,11,42,44,46,8,22,29,75,86,25,85,85,83,68,79,90,1,1,1,1,27,92,304,99
20,Ukeme,Eligwe,1,54,74,239,LB,85,32,57,58,47,6,15,14,62,82,35,85,52,79,51,81,87,0,1,1,0,26,86,269,86
21,Cory,Littleton,5,42,75,225,LB,83,31,44,42,44,6,22,29,70,85,18,92,79,81,64,74,86,1,0,1,1,26,76,35,93
22,Trayvon,Mullen,5,27,74,199,DB,90,55,64,64,35,7,19,11,52,61,28,92,83,85,80,60,87,0,0,1,0,22,87,9,56
23,Lamarcus,Joyner,5,29,68,185,DB,87,61,64,65,35,9,15,14,58,72,29,91,76,85,82,82,93,1,0,0,0,29,92,235,63
24,Johnathan,Abram,5,24,72,205,DB,92,52,64,52,35,32,29,21,60,70,53,89,73,84,67,91,88,1,1,0,0,23,77,65,56
25,Jeff,Heath,5,38,73,212,DB,88,20,65,61,37,7,66,53,58,66,20,89,79,84,74,83,91,1,0,1,1,29,89,69,67
26,Damon,Arnette Jr,5,20,72,195,DB,88,53,61,61,34,7,15,14,55,59,27,91,78,88,75,59,86,1,0,1,0,23,80,224,84
27,Nevin,Lawson,5,26,69,192,DB,89,55,54,52,34,7,25,25,56,68,35,92,77,88,71,56,89,0,1,0,0,29,88,59,80
28,Daniel,Carlson,1,2,77,213,K,74,13,41,20,18,20,95,77,18,26,26,83,58,61,14,18,91,0,0,0,1,25,95,147,100
