INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Justin,Herbert,1,10,78,236,QB,84,59,68,23,17,84,20,16,26,29,92,86,78,80,14,22,88,0,1,0,0,22,95,185,52
1,Austin,Ekeler,5,30,70,200,RB,92,86,87,75,37,19,22,15,11,32,28,89,88,92,17,20,88,0,1,0,0,25,99,325,92
2,Justin,Jackson,5,22,72,199,RB,89,72,82,56,29,23,19,14,26,41,30,83,72,90,14,23,91,1,0,1,0,24,91,76,99
3,Keenan,Allen,5,13,74,211,WR,89,85,80,94,41,27,22,20,35,34,42,95,96,92,20,15,83,1,0,0,0,28,94,22,51
4,Mike,Williams,5,81,76,220,WR,89,83,77,90,40,12,24,26,38,37,26,89,85,84,16,26,84,1,0,0,0,25,84,315,95
5,Jalen,Guyton,5,15,73,212,WR,93,69,73,79,31,17,20,20,29,28,28,80,73,87,20,22,88,1,1,0,1,23,79,189,75
6,Tyron,Johnson,5,83,73,193,WR,93,69,75,80,26,12,19,15,27,23,22,82,72,83,17,19,87,1,0,0,0,24,72,101,81
7,Joe,Reed,5,12,73,224,WR,90,76,74,80,34,38,18,12,42,41,45,82,66,87,19,38,89,1,0,0,0,22,97,291,87
8,Hunter,Henry,5,86,77,250,TE,83,56,75,88,64,10,21,19,46,42,28,90,93,80,17,27,84,0,0,0,0,25,78,302,94
9,Sam,Tevi,5,69,77,315,OL,62,6,21,18,71,6,16,15,29,35,37,86,73,62,12,38,89,1,0,0,1,25,80,269,85
10,Forrest,Lamp,5,76,76,310,OL,71,18,50,43,74,6,25,25,33,30,30,86,70,70,13,38,92,0,1,1,1,26,81,242,80
11,Mike,Pouncey,5,53,77,298,OL,65,15,32,21,83,7,15,10,24,40,12,82,83,69,12,20,79,0,1,1,0,31,94,70,92
12,Trai,Turner,5,70,75,315,OL,74,6,40,22,80,7,24,33,34,34,15,80,83,62,12,20,92,0,0,1,0,27,90,232,51
13,Bryan,Bulaga,5,75,77,314,OL,61,20,39,15,83,7,11,11,25,25,10,90,93,68,11,33,82,0,0,1,0,31,82,93,74
14,Joey,Bosa,5,97,77,280,DL,81,22,43,34,47,7,26,19,80,85,28,90,98,87,29,82,89,0,1,0,0,25,79,269,84
15,Linval,Joseph,5,95,76,329,DL,74,10,40,18,50,7,15,16,84,85,20,82,84,62,23,60,87,1,0,1,0,31,76,207,97
16,Justin,Jones,5,93,75,309,DL,69,18,27,21,47,8,17,12,78,83,23,71,79,62,24,78,89,0,1,0,1,24,83,145,63
17,Melvin,Ingram III,5,54,74,247,DL,80,33,61,55,46,8,15,17,76,85,31,79,95,85,52,82,89,1,1,1,0,31,89,262,65
18,Drue,Tranquill,5,49,74,234,LB,87,47,63,41,46,7,16,20,72,80,22,85,74,85,66,81,77,1,0,0,1,25,75,18,67
19,Kenneth,Murray Jr,5,56,74,241,LB,88,30,55,49,46,22,14,12,71,85,25,93,82,85,64,85,89,1,1,1,1,21,92,304,99
20,Denzel,Perryman,1,52,71,240,LB,81,10,65,33,48,8,20,20,73,79,25,84,75,79,60,89,71,0,1,1,0,27,86,269,86
21,Nick,Vigil,5,59,74,239,LB,82,16,40,37,45,6,23,26,72,83,23,81,74,83,54,79,90,1,0,1,1,27,76,35,93
22,Casey,Hayward Jr,5,26,71,192,DB,89,60,55,67,34,8,22,24,55,61,30,95,93,91,88,51,87,0,0,1,0,30,87,9,56
23,Chris,Harris Jr,5,25,70,199,DB,90,65,60,64,35,7,25,25,64,65,35,95,89,95,85,60,92,1,0,0,0,31,92,235,63
24,Derwin,James Jr,5,33,74,215,DB,90,59,72,62,37,14,19,15,65,79,34,94,86,90,83,91,83,1,1,0,0,24,77,65,56
25,Jahleel,Addae,5,36,70,195,DB,83,44,62,59,36,13,15,30,59,71,25,89,78,82,73,84,92,1,0,1,1,30,89,69,67
26,Michael,Davis,5,43,74,196,DB,92,61,58,63,32,8,10,10,51,62,26,87,77,85,75,64,88,1,0,1,0,25,80,224,84
27,Tevaughn,Campbell,5,37,72,200,DB,92,58,63,62,34,6,10,11,51,53,24,89,58,84,68,49,84,0,1,0,0,27,88,59,80
28,Michael,Badgley,1,4,70,183,K,74,5,33,19,13,24,96,72,13,29,26,84,54,60,12,12,89,0,0,0,1,25,95,147,100
29,Lachlan,Edwards,5,8,76,209,P,72,11,37,15,18,20,91,71,24,27,30,83,55,64,12,23,85,0,0,0,0,28,82,159,55
30,Tyrod,Taylor,5,5,73,217,QB,87,73,66,57,21,78,19,17,25,37,86,77,68,90,21,12,89,1,1,1,0,31,78,250,67
31,Easton,Stick,3,2,73,224,QB,85,69,65,22,15,74,29,30,23,23,83,79,60,91,14,20,93,0,0,1,0,23,93,56,89
32,Joshua,Kelley,5,27,71,212,RB,89,77,87,60,36,13,16,12,39,40,27,83,75,84,27,37,88,1,0,0,0,22,90,146,63
33,Kalen,Ballage,5,31,74,231,RB,91,77,87,65,33,32,18,14,27,26,36,87,65,87,17,29,91,0,0,0,1,24,85,95,90
34,John,Hurst,5,87,74,190,WR,89,67,72,79,26,11,19,15,25,28,28,81,63,81,20,26,88,1,1,1,1,23,72,235,55
35,K.J.,Hill Jr,5,84,72,196,WR,86,75,73,77,30,11,20,20,23,22,23,85,64,86,12,14,92,0,0,0,0,22,80,292,66
36,Virgil,Green,5,88,77,255,TE,84,72,72,76,64,11,19,12,48,40,24,86,75,82,13,25,88,0,0,0,1,32,86,180,86
37,Trey,Pipkins III,5,79,78,304,OL,68,5,42,38,70,7,21,11,40,40,16,76,69,66,12,35,88,1,0,0,1,23,74,149,60
38,Dan,Feeney,5,66,76,310,OL,64,8,23,24,71,6,24,22,37,34,27,84,82,68,16,38,87,0,0,1,0,26,67,274,67
39,Ryan,Groy,5,72,77,320,OL,64,6,35,14,69,7,12,15,33,33,20,78,72,66,12,12,88,1,1,1,0,29,85,90,70
40,Storm,Norton,5,74,79,317,OL,68,8,22,21,64,6,22,21,39,29,30,84,55,71,14,20,84,1,0,0,1,26,90,323,57
41,Isaac,Rochell,1,98,76,280,DL,76,18,28,23,46,11,22,21,69,81,24,78,60,69,28,82,94,0,1,0,1,25,82,80,64
42,Damion,Square,5,71,74,293,DL,62,10,40,19,48,6,15,11,69,78,19,71,76,58,29,77,87,0,1,0,0,31,83,86,93
43,Uchenna,Nwosu,1,42,74,251,DL,84,30,47,50,45,7,17,13,74,82,18,83,77,83,52,83,92,0,0,1,1,23,79,93,86
44,Kyzir,White,5,44,74,218,LB,85,48,60,59,44,7,18,17,61,81,23,83,67,84,65,87,88,0,1,1,0,24,93,179,88
45,B.J.,Bello,5,58,75,229,LB,86,34,55,53,44,6,10,16,62,77,36,89,62,88,49,68,84,0,0,0,0,25,85,38,84
46,Emeke,Egbule,5,51,74,245,LB,84,28,54,53,45,6,15,19,68,74,25,83,58,81,57,80,90,0,0,0,0,23,74,102,70
47,Brandon,Facyson,5,28,74,197,DB,88,54,59,58,34,7,8,10,55,53,26,91,63,83,65,61,82,0,1,0,0,25,78,19,79
48,Rayshawn,Jenkins,5,23,73,220,DB,89,46,65,67,35,15,20,15,67,75,30,92,75,84,67,86,84,0,0,0,0,26,75,128,71
