INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Jared,Goff,1,16,76,223,QB,78,53,60,21,15,84,21,20,21,27,89,90,77,74,15,17,90,0,0,0,1,25,95,331,82
1,Cam,Akers,5,23,70,217,RB,90,80,88,64,39,45,20,20,26,28,56,86,76,93,14,27,89,1,0,1,0,21,99,234,99
2,Darrell,Henderson Jr,5,27,68,208,RB,89,75,88,63,36,23,16,13,25,36,55,87,75,88,13,19,89,0,0,0,1,23,79,240,99
3,Robert,Woods,1,17,72,193,WR,90,80,79,90,39,22,25,22,40,39,34,92,94,87,19,15,94,1,0,0,0,28,74,326,56
4,Cooper,Kupp,5,10,74,208,WR,88,84,77,87,41,36,22,20,28,31,48,88,89,95,20,26,89,1,1,1,1,27,80,140,58
5,Josh,Reynolds,5,11,75,192,WR,88,76,76,85,33,21,20,14,24,35,30,85,82,86,22,28,87,1,1,0,0,25,82,214,68
6,Van,Jefferson,1,12,74,200,WR,90,68,77,80,30,26,18,14,34,34,36,84,72,82,19,23,87,0,0,0,1,24,76,324,94
7,Nsimba,Webster,5,14,70,180,WR,88,73,72,76,26,36,24,22,27,27,54,80,56,89,19,12,84,1,0,1,0,24,95,41,86
8,Tyler,Higbee,1,89,78,257,TE,80,66,78,85,60,18,21,19,32,34,26,86,89,85,17,27,88,0,0,1,0,27,95,85,89
9,Andrew,Whitworth,5,77,79,330,OL,62,9,40,15,87,7,20,28,37,37,35,90,95,58,13,12,89,0,0,0,0,38,92,3,51
10,David,Edwards,1,73,78,308,OL,63,36,45,36,74,31,21,11,37,39,40,88,87,64,12,35,84,0,0,1,0,23,81,81,77
11,Austin,Blythe,1,66,75,300,OL,60,7,24,18,79,7,20,20,26,32,24,93,82,69,13,28,93,0,0,0,0,28,84,179,95
12,Austin,Corbett,1,63,76,306,OL,67,7,32,15,77,6,17,13,15,29,23,86,88,59,12,27,88,0,1,0,1,24,94,295,58
13,Rob,Havenstein,1,79,80,328,OL,57,5,40,19,83,7,15,12,25,35,11,78,90,54,12,20,90,0,1,1,1,28,95,44,94
