INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Ryan,Fitzpatrick,1,14,74,228,QB,70,66,63,20,27,83,12,19,12,12,86,89,80,72,12,12,83,0,1,0,0,37,92,185,52
1,Jordan,Howard,5,34,72,224,RB,88,81,95,66,46,18,21,20,26,39,28,87,83,83,16,21,89,0,1,0,0,25,95,325,92
2,Matt,Breida,5,20,70,190,RB,95,79,85,67,41,20,19,15,31,38,27,83,77,90,14,31,77,1,0,1,0,25,90,76,99
3,DeVante,Parker,5,11,75,216,WR,90,77,75,89,38,25,19,12,35,36,28,87,92,88,15,12,87,1,0,0,0,27,94,22,51
4,Albert,Wilson,5,15,69,186,WR,90,79,78,85,37,27,21,18,35,25,43,91,80,89,14,15,82,1,0,0,0,28,84,315,95
5,Jakeem,Grant,5,19,67,172,WR,95,78,74,82,36,25,23,22,19,20,35,83,78,90,20,15,79,1,1,0,1,27,79,189,75
6,Allen,Hurns,5,17,75,195,WR,87,78,77,84,36,10,19,22,42,36,32,86,74,80,15,12,83,1,0,0,0,28,72,101,81
7,Preston,Williams,5,18,76,218,WR,91,73,70,82,37,24,17,12,57,27,30,83,77,83,13,12,84,1,0,0,0,23,97,291,87
8,Mike,Gesicki,5,88,78,250,TE,83,68,78,85,55,10,18,14,32,30,23,88,82,88,12,38,85,0,0,0,0,24,78,302,94
9,Austin,Jackson,5,73,77,322,OL,70,13,24,31,73,6,20,20,55,54,22,90,72,70,26,52,87,1,0,0,1,21,80,269,85
10,Ereck,Flowers,5,75,78,329,OL,61,5,40,30,76,6,24,22,15,28,25,84,80,65,13,20,85,0,1,1,1,26,81,242,80
11,Ted,Karras,5,67,76,305,OL,60,6,31,26,75,6,25,21,29,30,29,92,85,54,12,67,84,0,1,1,0,27,94,70,92
12,Robert,Hunt,5,68,77,323,OL,62,9,22,26,73,6,20,20,30,39,25,86,69,61,13,39,87,0,0,1,0,24,90,232,51
13,Jesse,Davis,5,77,78,321,OL,62,6,32,24,71,6,20,17,27,31,22,88,79,68,12,42,84,0,0,1,0,28,82,93,74
14,Emmanuel,Ogbah,5,91,76,275,DL,83,16,33,38,34,6,20,19,71,81,22,90,80,78,45,83,74,0,1,0,0,26,79,269,84
15,Avery,Moss,5,93,75,271,DL,79,21,38,44,36,6,37,16,65,78,31,88,50,81,41,76,75,1,0,1,0,25,76,207,97
16,Davon,Godchaux,5,56,75,311,DL,65,12,27,35,40,6,12,11,79,80,15,89,84,60,26,76,77,0,1,0,1,25,83,145,63
17,Christian,Wilkins,5,94,76,315,DL,72,26,43,43,42,6,15,11,76,80,24,94,75,76,28,79,75,1,1,1,0,24,89,262,65
18,Kyle,Van,5,53,75,250,LB,84,24,65,72,37,6,27,23,79,84,20,87,97,81,67,71,89,1,0,0,1,29,75,18,67
19,Raekwon,McMillan,5,52,74,243,LB,86,27,56,61,38,6,20,20,78,83,25,90,72,81,61,82,90,1,1,1,1,24,92,304,99
20,Jerome,Baker,1,55,74,225,LB,89,33,61,58,36,6,18,12,75,83,22,91,76,85,64,75,93,0,1,1,0,23,86,269,86
21,Shaq,Lawson,5,90,75,263,LB,82,19,26,45,36,6,20,19,78,85,22,84,77,78,45,83,78,1,0,1,1,26,76,35,93
22,Byron,Jones,5,24,72,205,DB,92,50,59,63,28,6,24,21,49,64,44,90,87,96,87,60,91,0,0,1,0,27,87,9,56
23,Xavien,Howard,5,25,73,198,DB,91,63,64,74,13,6,18,17,61,59,27,89,83,88,81,53,90,1,0,0,0,27,92,235,63
24,Eric,Rowe,5,21,73,205,DB,89,45,64,66,27,6,24,21,46,66,29,84,74,89,71,67,92,1,1,0,0,27,77,65,56
25,Bobby,McCain,5,28,71,192,DB,88,65,65,74,27,6,15,11,56,58,27,84,77,91,75,47,92,1,0,1,1,27,89,69,67
26,Nik,Needham,5,40,72,193,DB,86,55,60,68,29,6,10,11,52,53,27,85,74,87,73,58,90,1,0,1,0,23,80,224,84
27,Noah,Igbinoghene,5,46,70,198,DB,91,58,65,62,29,6,18,14,49,54,28,83,66,89,68,57,90,0,1,0,0,20,88,59,80
28,Jason,Sanders,1,7,71,185,K,77,5,28,46,16,22,92,77,19,27,24,83,59,60,14,16,81,0,0,0,1,24,95,147,100
