INDEX,FIRST,LAST,SKIN,NUMBER,Height,Weight,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Kirk,Cousins,1,8,75,202,QB,77,49,58,22,12,87,12,19,12,38,87,88,88,70,12,27,89,0,0,0,1,32,95,300,82
1,Dalvin,Cook,5,33,70,210,RB,92,88,87,67,44,31,17,21,25,28,40,84,86,94,12,29,91,1,0,1,0,25,98,317,99
2,Alexander,Mattison,5,25,71,220,RB,86,81,92,68,43,16,15,13,28,35,25,88,79,80,18,31,89,0,0,0,1,22,99,240,99
3,Adam,Thielen,1,19,74,200,WR,90,79,73,95,36,38,34,35,32,32,51,90,93,92,13,15,90,1,0,0,0,30,90,327,56
4,Tajae,Sharpe,5,11,73,202,WR,88,75,74,84,39,10,23,22,26,28,29,89,77,92,20,15,82,1,1,1,1,25,99,140,58
5,Justin,Jefferson,1,18,70,183,WR,91,76,74,83,33,15,18,12,24,36,29,89,73,89,22,17,85,1,1,0,0,21,82,214,68
6,Olabisi,Johnson,4,81,72,204,WR,89,69,71,84,35,10,18,12,42,45,24,90,71,87,29,36,79,0,0,0,1,23,76,326,94
7,Chad,Beebe,5,12,71,203,WR,86,66,64,81,26,10,12,11,25,34,32,80,72,87,28,15,83,1,0,1,0,26,95,41,86
8,Kyle,Rudolph,1,82,78,265,TE,77,50,80,96,55,10,32,32,41,45,30,87,91,80,13,20,95,0,0,1,0,30,95,85,89
9,Riley,Reiff,1,71,78,305,OL,64,8,40,35,77,6,25,25,20,32,30,92,86,62,13,24,94,0,0,0,0,31,92,3,51
10,Pat,Elflein,1,65,78,311,OL,62,12,29,33,76,6,20,24,37,32,22,92,82,60,14,42,88,0,0,1,0,26,90,81,77
