INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Cam,Newton,1,1,77,245,QB,84,78,71,57,29,82,24,22,41,44,91,85,76,85,20,48,84,0,0,0,0,31,75,306,64
1,James,White,1,28,70,205,RB,89,78,91,73,38,27,15,19,26,32,34,90,77,89,15,12,88,0,0,1,0,28,98,306,64
2,Sony,Michel,5,26,71,215,RB,88,78,92,65,39,18,11,19,30,35,27,89,79,93,14,27,87,0,0,0,1,25,92,196,57
3,Julian,Edelman,1,11,70,200,WR,86,83,75,85,30,60,18,17,45,41,70,94,83,88,45,20,83,0,0,1,0,34,77,305,73
4,Jakobi,Meyers,1,16,74,203,WR,85,73,73,84,35,52,45,31,35,39,74,84,80,88,28,28,87,0,1,0,1,23,80,302,51
5,Marqise,Lee,5,13,72,196,WR,88,81,76,83,35,29,30,30,40,25,42,86,74,92,19,12,85,1,1,0,1,28,83,294,100
6,Damiere,Byrd,5,10,69,180,WR,94,73,67,78,24,15,23,22,23,24,35,83,78,93,20,15,81,0,0,1,1,27,88,285,86
7,N'Keal,Harry,5,15,75,220,WR,88,79,77,83,37,27,15,19,30,26,41,83,72,83,18,23,91,1,0,1,0,22,97,143,85
8,Dalton,Keene,1,44,76,253,TE,83,62,77,78,58,10,16,13,53,51,29,83,66,80,21,54,88,1,0,0,0,21,91,303,51
9,Isaiah,Wynn,1,76,74,310,OL,70,14,25,16,82,7,17,13,30,33,16,89,88,76,13,36,81,0,0,1,0,24,77,176,78
10,Joe,Thuney,1,62,77,305,OL,73,8,33,18,83,8,11,11,33,29,25,84,91,71,12,48,94,1,1,0,0,27,93,137,79
11,David,Andrews,1,60,75,300,OL,67,9,22,15,85,7,20,20,40,38,22,88,93,57,14,37,87,0,0,0,0,28,84,274,60
12,Shaq,Mason,1,69,73,310,OL,72,5,45,23,85,7,25,25,20,44,30,82,88,65,13,24,91,0,0,0,0,27,83,224,75
13,Marcus,Cannon,1,61,78,335,OL,60,11,40,15,78,7,20,21,20,30,15,75,78,55,13,35,84,0,0,1,0,32,83,247,63
14,Chase,Winovich,5,50,75,255,DL,85,34,57,48,47,32,21,16,76,79,51,76,82,83,45,79,87,1,1,0,0,25,94,322,84
15,Adam,Butler,5,70,77,300,DL,65,10,31,32,48,6,15,16,71,83,20,76,84,67,27,80,89,0,0,0,0,26,86,21,75
16,Beau,Allen,5,94,75,327,DL,59,10,40,20,55,7,23,11,68,82,13,66,73,73,22,74,88,1,0,0,1,28,86,54,69
17,Lawrence,Guy,5,93,76,315,DL,71,19,40,18,45,7,15,15,78,83,19,71,84,74,22,79,92,1,0,1,1,30,88,253,91
18,Brandon,Copeland,1,52,75,263,LB,86,34,57,41,45,6,20,20,63,75,25,81,74,78,53,74,85,1,0,0,1,29,79,52,94
19,Dont'a,Hightower,1,54,75,265,LB,81,14,59,31,48,8,12,11,78,92,16,91,95,79,64,93,90,0,0,0,0,30,83,129,96
20,Ja'Whaun,Bentley,5,51,74,260,LB,81,28,45,38,46,6,19,14,73,83,25,84,76,80,53,84,82,1,0,0,0,24,93,40,54
21,Josh,Uche,5,53,73,226,LB,86,27,44,34,45,7,18,12,64,78,21,79,66,84,55,79,85,1,0,1,0,21,76,55,95
22,Stephon,Gilmore,5,24,73,202,DB,92,67,62,69,35,35,30,25,54,67,43,96,99,94,97,68,94,0,0,0,0,29,93,9,66
23,JC,Jackson,5,27,70,198,DB,90,48,61,67,34,6,16,14,47,50,36,90,90,86,84,49,88,0,0,1,1,24,81,201,62
24,Patrick,Chung,3,23,71,215,DB,84,22,58,55,37,7,18,16,53,75,30,96,91,82,79,84,92,1,0,0,1,33,89,152,94
25,Devin,McCourty,5,32,70,195,DB,90,62,50,62,37,9,22,24,64,74,30,97,94,90,89,67,95,1,1,1,1,33,88,139,66
26,Jonathan,Jones,5,31,70,190,DB,94,55,60,66,32,7,18,17,59,59,27,84,80,86,82,67,84,1,0,0,0,26,79,289,57
27,Jason,McCourty,5,30,71,195,DB,91,57,43,64,35,7,22,24,56,69,30,87,78,88,79,62,92,1,1,0,0,33,93,22,70
28,Nick,Folk,1,6,73,222,K,66,15,50,20,18,24,93,79,25,25,55,75,59,61,17,12,84,0,1,1,1,35,69,20,99
29,Jake,Bailey,1,7,74,202,P,82,10,40,23,9,20,94,80,23,29,45,81,62,68,18,12,84,0,0,0,0,23,81,164,78
30,Michael,Onwenu,5,71,75,350,OL,55,20,29,22,80,7,15,16,22,25,21,77,91,55,19,30,88,0,1,1,0,22,66,153,68
31,Adrian,Phillips,3,21,71,210,DB,86,40,62,54,35,13,25,15,48,74,20,87,84,84,75,70,92,1,0,0,1,28,74,289,89
32,Kyle,Dugger,5,35,73,220,DB,89,60,70,62,37,9,18,13,67,69,25,88,80,87,69,88,85,0,0,1,1,24,73,232,71
33,Deatrich,Wise Jr,5,91,77,271,DL,75,18,32,34,46,8,14,22,70,85,11,77,79,71,28,81,89,1,1,0,0,26,89,303,96
34,Damien,Harris,1,37,70,213,RB,90,78,91,61,43,22,16,12,27,38,36,81,79,81,15,24,86,1,1,1,0,23,80,307,95
35,John,Simon,1,55,74,260,DL,80,18,61,53,46,8,32,29,78,78,25,85,82,78,52,79,86,1,0,1,0,29,82,169,50
36,Rex,Burkhead,5,34,70,210,RB,83,80,89,75,49,36,28,26,20,44,34,86,79,88,16,20,83,0,0,0,0,30,93,153,84
37,Joejuan,Williams,1,33,75,208,DB,87,60,64,63,35,7,15,11,51,59,25,88,71,88,71,60,91,1,1,1,1,22,92,297,90
38,Terrence,Brooks,5,25,71,200,DB,90,51,60,55,37,7,22,24,50,66,30,91,70,78,72,79,83,1,0,0,0,28,80,203,82
39,Brandon,Bolden,5,38,71,220,RB,88,68,89,65,48,11,25,32,50,54,36,78,75,84,19,45,86,0,1,1,0,30,70,245,81
40,Justin,Rohrwasser,5,5,75,234,K,61,8,31,16,16,24,93,70,13,39,36,86,55,61,15,19,89,1,0,0,1,23,74,255,70
41,Anfernee,Jennings,5,58,74,259,LB,81,28,63,60,47,7,22,11,69,78,26,83,66,74,55,77,88,0,1,0,1,23,78,237,59
42,Cody,Davis,1,22,74,203,DB,88,29,60,51,35,12,15,19,40,68,35,86,65,86,69,79,90,1,1,1,0,31,82,97,85
43,Donte,Moncrief,1,14,74,216,WR,89,72,73,80,39,23,22,20,35,34,35,82,57,83,20,15,89,1,0,1,1,27,85,187,78
44,J.J.,Taylor,1,42,65,185,RB,86,76,85,61,26,14,14,16,33,34,24,82,62,83,25,25,84,0,0,1,1,22,83,87,57
45,Shilique,Calhoun,5,90,76,260,LB,78,11,45,31,44,6,20,19,60,79,22,80,63,84,40,81,91,1,0,0,1,28,88,53,52
46,Akeem,Spence,5,52,73,307,DL,66,10,42,23,48,7,20,20,65,71,36,63,69,64,24,84,95,1,0,0,0,28,89,191,82
47,Byron,Cowart,5,99,75,300,DL,67,24,26,25,46,10,16,12,72,77,20,71,63,64,24,80,85,1,0,1,0,23,82,17,56
48,Danny,Vitale,5,45,72,239,FB,84,42,75,66,53,16,23,22,33,40,33,86,61,82,24,25,90,0,1,1,0,26,74,230,73
49,Devin,Smith,1,13,73,199,WR,90,72,72,78,27,20,19,19,60,57,35,77,64,88,22,15,76,1,1,1,1,28,88,304,99
50,Justin,Bethel,1,29,72,200,DB,86,54,68,54,35,6,26,26,48,61,36,92,68,86,67,65,93,1,0,0,0,30,92,276,71
