INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Drew,Brees,1,9,71,209,QB,67,34,65,22,20,89,21,16,26,26,81,77,91,68,19,12,87,0,0,0,1,41,96,332,82
1,Alvin,Kamara,1,41,70,215,RB,89,93,92,78,36,27,21,16,29,29,41,91,96,93,21,33,85,1,0,1,0,25,99,329,99
2,Latavius,Murray,5,28,75,230,RB,89,84,95,62,48,28,20,22,35,39,39,86,86,87,21,45,81,0,0,0,1,29,94,240,99
3,Michael,Thomas,5,13,75,212,WR,89,82,78,97,32,12,23,22,22,27,24,99,96,92,17,15,93,1,0,0,0,27,74,93,56
4,Emmanuel,Sanders,1,17,71,180,WR,88,83,70,88,29,30,30,30,35,25,50,87,89,91,19,12,87,1,1,1,1,33,80,314,58
5,Tre'Quan,Smith,5,10,74,210,WR,89,75,76,83,35,13,18,14,30,34,35,85,79,85,14,25,89,1,1,0,0,24,82,214,68
6,Deonte,Harris,5,11,66,170,WR,91,74,72,79,25,23,19,15,26,17,25,83,78,90,18,12,80,0,0,0,1,22,76,326,94
7,Bennie,Fowler III,1,16,73,218,WR,89,68,69,80,34,12,25,30,52,42,30,82,67,85,21,15,82,1,1,0,0,29,78,323,76
8,Jared,Cook,1,87,77,254,TE,85,74,72,86,56,11,15,19,43,44,25,93,91,80,17,12,84,0,0,1,0,33,95,85,89
9,Terron,Armstead,5,72,77,304,OL,80,15,62,61,90,8,25,25,25,37,30,92,92,69,17,20,82,0,0,0,0,29,92,3,51
10,Andrus,Peat,1,75,79,316,OL,66,9,40,17,78,7,24,22,15,34,25,80,84,63,13,20,78,0,0,1,0,26,81,81,77
11,Erik,McCoy,1,78,76,314,OL,73,9,30,17,83,7,22,21,23,35,22,84,93,62,12,22,91,0,0,0,0,23,84,179,95
12,Cesar,Ruiz,1,51,75,316,OL,70,9,26,17,75,7,11,11,17,27,25,85,83,55,12,25,92,0,1,0,1,21,94,295,58
13,Ryan,Ramczyk,3,71,78,314,OL,63,11,43,31,89,7,21,23,37,38,16,92,93,73,12,40,89,0,1,0,1,26,84,16,74
14,Cameron,Jordan,1,94,76,287,DL,78,14,40,22,48,7,33,29,92,94,30,91,96,80,35,85,97,1,0,0,0,31,87,322,65
15,David,Onyemata,5,93,76,300,DL,69,10,30,27,46,8,29,12,79,81,13,75,90,72,27,81,89,0,0,1,0,27,95,233,87
16,Sheldon,Rankins,5,98,74,305,DL,71,13,40,32,48,7,17,17,71,84,23,77,87,78,33,80,88,0,1,0,1,26,92,186,92
17,Trey,Hendrickson,1,91,76,270,DL,84,28,41,33,45,7,17,17,67,82,23,76,81,81,36,83,92,1,1,0,1,25,84,81,87
18,Zack,Baun,5,53,74,225,LB,85,40,61,51,45,40,21,19,67,80,47,88,67,83,57,81,87,1,0,0,0,23,87,176,71
19,Demario,Davis,5,56,74,248,LB,86,25,62,30,47,8,26,20,81,92,25,94,93,81,75,88,91,1,1,0,0,31,83,255,59
20,Craig,Robertson,1,52,73,234,LB,77,17,55,36,47,6,20,20,65,82,30,81,66,80,61,80,87,1,0,1,1,32,84,102,53
21,Kwon,Alexander,5,58,73,227,LB,87,20,50,49,47,7,20,20,73,81,27,83,80,84,70,86,77,1,1,0,0,26,95,298,86
22,Marshon,Lattimore,5,23,72,192,DB,93,67,61,68,35,6,30,25,52,71,22,89,86,91,83,69,84,0,1,0,1,24,86,115,91
23,Janoris,Jenkins,5,20,70,190,DB,89,72,54,70,30,7,12,10,52,60,12,94,82,92,79,50,89,0,0,1,0,31,92,45,94
24,C.J.,Gardner-Johnson,5,22,71,210,DB,90,53,64,66,36,14,65,50,58,66,25,85,89,85,84,77,88,1,0,0,0,22,77,127,70
25,Marcus,Williams,5,43,73,195,DB,89,49,75,69,34,8,20,20,62,73,25,93,87,87,77,79,90,1,1,1,0,23,77,190,76
26,Patrick,Robinson,5,21,71,191,DB,87,57,65,65,34,7,25,16,62,65,22,91,72,87,72,49,87,0,0,0,0,32,93,85,89
27,Grant,Haley,5,30,69,190,DB,91,45,60,56,34,8,17,15,56,55,30,87,68,97,69,56,86,1,0,0,1,24,82,198,67
28,Wil,Lutz,1,3,71,184,K,71,5,40,16,16,18,97,88,24,26,40,79,64,62,14,13,82,0,0,1,1,26,84,175,66
29,Thomas,Morstead,1,6,76,235,P,75,9,35,17,16,24,94,93,14,14,35,90,70,62,13,22,95,0,1,0,0,34,84,187,94
30,Jameis,Winston,1,2,76,231,QB,79,73,57,28,23,82,30,26,45,45,90,90,68,80,12,28,96,0,1,0,0,26,93,55,86
31,Taysom,Hill,1,7,74,221,QB,90,82,66,77,55,76,69,54,54,57,84,87,74,85,56,68,81,0,1,0,0,30,87,218,81
32,Ty,Montgomery II,5,88,72,216,RB,88,76,82,76,47,27,24,21,43,45,42,83,75,86,27,15,82,0,1,0,1,27,95,325,66
33,Dwayne,Washington,1,24,73,223,RB,89,76,84,50,27,20,20,22,27,27,29,84,69,87,21,30,81,0,0,0,0,26,89,8,50
34,Marquez,Callaway,5,12,73,204,WR,87,72,75,82,26,15,19,13,28,27,20,79,67,82,17,29,90,1,0,0,0,22,86,97,82
35,Juwan,Johnson,5,83,76,230,WR,86,74,76,80,38,24,29,25,36,34,36,82,60,84,23,37,87,1,0,0,0,23,92,4,50
36,Josh,Hill,1,89,77,250,TE,82,56,69,80,58,16,20,20,44,35,40,85,79,82,17,15,89,0,0,0,0,30,64,117,87
37,Derrick,Kelly,5,68,77,320,OL,58,8,28,19,66,7,24,22,27,34,23,85,60,47,13,40,87,0,1,0,1,25,81,43,84
