INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Daniel,Jones,1,8,77,228,QB,84,57,54,38,17,82,60,49,22,24,87,87,74,83,15,14,84,0,1,1,1,23,87,203,98
1,Saquon,Barkley,5,26,71,233,RB,93,91,93,75,41,34,19,14,24,28,41,92,84,96,14,17,97,0,0,1,0,23,98,317,87
2,Dion,Lewis,5,33,68,195,RB,89,76,84,70,41,28,20,16,20,29,42,83,71,94,15,12,86,0,0,0,0,29,88,319,58
3,Golden,Tate,5,15,70,197,WR,90,88,76,89,36,26,19,19,35,19,39,89,89,94,20,15,88,0,0,0,0,32,90,226,66
4,Sterling,Shepard,5,87,70,201,WR,90,81,75,88,42,19,23,22,24,33,27,90,83,93,20,15,86,1,0,1,1,27,91,107,92
5,Darius,Slayton,5,86,73,190,WR,93,71,74,87,30,10,17,13,28,30,24,87,84,85,24,21,85,1,1,0,1,23,78,224,75
6,Corey,Coleman,5,19,71,185,WR,90,73,75,80,34,10,23,22,26,28,29,86,60,91,26,24,84,1,0,1,0,26,86,153,57
7,Cody,Core,3,17,75,210,WR,90,62,65,78,37,10,11,11,26,21,29,88,73,88,22,12,81,1,1,0,0,26,87,54,90
8,Evan,Engram,5,88,75,240,TE,90,76,79,88,58,18,22,16,32,42,28,88,88,89,27,28,93,0,1,1,0,25,83,1,86
9,Nate,Solder,1,76,80,325,OL,72,15,61,63,78,6,21,23,25,35,16,87,73,73,12,25,90,0,0,1,0,32,76,126,74
10,Will,Hernandez,1,71,74,327,OL,65,17,25,17,78,6,17,12,24,27,22,94,79,63,10,35,88,0,0,1,0,24,77,94,54
11,Spencer,Pulley,5,77,76,308,OL,68,8,27,32,70,6,20,20,26,35,24,89,76,70,13,22,81,0,1,0,1,27,89,14,79
12,Kevin,Zeitler,1,70,76,315,OL,58,6,40,15,83,6,18,16,15,25,12,91,86,60,14,20,88,1,0,0,0,30,76,261,80
13,Andrew,Thomas,5,78,77,315,OL,65,8,28,40,76,6,24,22,27,31,23,87,74,65,13,30,90,0,0,0,1,21,85,219,70
14,Dexter,Lawrence,5,97,76,342,DL,73,17,42,36,44,6,15,15,76,84,19,89,80,69,18,82,79,1,0,1,0,22,88,304,85
15,RJ,McIntosh,5,90,76,283,DL,70,23,33,30,39,6,19,13,66,78,22,91,61,66,25,79,72,1,1,0,1,24,87,237,92
16,Dalvin,Tomlinson,5,94,75,317,DL,66,19,27,34,40,6,17,17,82,87,23,88,83,61,25,82,79,1,1,0,0,26,80,226,63
17,Leonard,Williams,5,99,77,302,DL,72,15,55,37,36,6,18,17,81,87,35,85,82,72,26,81,77,1,1,1,0,26,96,95,70
18,Dexter,Lawrence,5,97,76,342,DL,73,17,42,36,44,6,15,15,76,84,19,89,80,69,18,82,79,1,0,0,1,22,84,276,72
19,Blake,Martinez,5,54,74,237,LB,81,12,45,57,36,6,19,19,74,82,25,92,74,80,56,80,87,1,0,0,1,26,91,148,58
20,David,Mayo,5,55,74,245,LB,81,17,55,62,34,6,22,29,69,83,25,78,72,77,52,75,84,1,0,0,0,27,79,133,65
21,Kyler,Fackrell,5,51,77,245,LB,81,21,55,66,20,44,21,19,63,84,62,86,77,81,64,80,78,1,0,1,0,28,78,185,71
22,James,Bradberry,5,24,73,210,DB,90,60,62,70,11,6,29,21,53,60,21,89,82,86,78,76,88,1,0,0,0,27,85,126,55
23,Julian,Love,5,20,71,195,DB,89,60,65,69,29,6,19,14,53,63,29,90,76,90,72,52,91,1,0,1,0,22,77,208,59
24,Jabrill,Peppers,5,21,71,213,DB,90,77,67,75,29,26,22,18,56,74,33,87,79,89,74,87,95,1,0,0,0,24,77,16,76
25,Xavier,McKinney,5,29,72,201,DB,86,38,62,66,28,6,15,12,60,71,25,88,76,88,71,81,89,1,0,0,1,22,67,327,70
26,DeAndre,Baker,3,27,71,180,DB,89,52,58,66,29,6,18,17,52,62,22,87,73,85,71,51,89,1,1,1,0,23,79,245,67
27,Grant,Haley,5,34,69,190,DB,91,45,60,59,29,7,17,15,56,55,30,86,68,97,67,56,87,1,1,0,0,24,85,296,85
28,Aldrick,Rosas,1,2,75,221,K,68,8,31,27,19,26,95,84,13,28,36,83,67,68,15,19,86,0,0,0,1,25,90,249,98
29,Riley,Dixon,1,9,76,221,P,70,34,50,38,15,29,88,61,24,34,39,88,61,75,17,58,89,0,0,0,1,27,87,296,94
30,Colt,McCoy,1,12,73,210,QB,75,61,65,47,17,76,30,32,27,27,78,86,75,76,17,12,73,1,0,0,0,33,93,138,64
31,Cooper,Rush,5,13,75,225,QB,75,36,59,28,16,70,19,15,23,29,82,92,61,69,15,18,72,1,0,0,1,26,79,250,89
32,Alex,Tanney,5,3,76,220,QB,70,44,64,35,15,68,22,15,23,23,80,88,60,74,20,12,66,1,1,0,0,32,83,100,66
33,Wayne,Gallman,5,22,72,210,RB,89,77,84,66,50,10,22,21,35,36,35,89,79,83,15,41,84,0,1,0,1,25,87,92,68
34,Jon,Hilliman,5,28,71,216,RB,89,70,82,65,35,16,18,16,26,29,23,89,62,81,15,28,79,1,0,0,0,24,76,163,50
35,David,Sills,5,84,75,211,WR,87,70,71,77,34,63,19,17,24,25,73,84,56,85,13,12,80,0,0,1,0,24,69,104,70
36,Da'Mari,Scott,5,18,72,205,WR,89,70,68,79,35,19,18,12,30,36,31,83,57,88,35,40,75,1,1,1,0,25,88,148,74
37,Levine,Toilolo,5,85,80,265,TE,74,41,76,78,62,10,22,19,44,52,30,79,79,74,17,15,82,1,0,1,1,29,92,318,83
38,Kaden,Smith,5,82,77,249,TE,77,58,71,81,53,10,12,10,28,27,25,85,66,81,13,25,81,1,1,0,0,23,88,256,75
39,Chad,Slade,5,62,77,315,OL,67,5,45,45,63,6,25,25,20,40,30,91,63,59,13,20,78,1,0,1,0,28,79,92,94
40,Shane,Lemieux,1,66,76,310,OL,69,28,40,36,69,23,18,12,37,36,40,87,72,49,9,43,90,1,0,0,0,23,86,315,85
41,Nick,Gates,1,65,77,307,OL,57,17,29,36,66,6,17,12,22,36,25,83,66,64,13,22,85,1,0,0,0,24,79,122,97
42,Cameron,Fleming,3,75,78,320,OL,62,12,45,50,70,6,25,22,45,40,32,93,73,52,11,42,82,1,0,1,0,27,74,322,85
43,RJ,McIntosh,5,90,76,283,DL,70,23,33,30,39,6,19,13,66,78,22,91,61,66,25,79,72,1,0,1,1,24,86,28,80
44,B.J.,Hill,3,95,75,311,DL,73,23,33,37,36,6,18,12,79,79,19,91,78,70,25,80,74,1,0,0,1,24,81,227,74
45,Carter,Coughlin,5,49,75,236,LB,86,14,44,48,34,6,16,12,62,76,17,92,62,76,50,78,84,0,0,1,0,23,87,131,87
46,Chris,Peace,1,58,74,250,LB,81,30,44,45,36,6,26,21,65,74,25,86,55,78,49,80,78,0,0,0,1,24,77,57,92
47,David,Mayo,5,55,74,245,LB,81,17,55,62,34,6,22,29,69,83,25,78,72,77,52,75,84,1,0,0,0,27,84,67,63
48,Ryan,Connelly,1,57,74,242,LB,84,41,48,58,36,41,18,13,68,81,51,88,68,81,60,82,86,1,0,0,0,24,94,264,74
49,Lorenzo,Carter,5,59,77,250,LB,88,18,43,48,37,6,17,17,64,80,20,89,64,84,60,79,79,1,0,0,1,24,91,151,64
50,Oshane,Ximines,3,53,76,252,LB,80,11,46,50,29,6,20,19,66,76,22,88,76,82,44,78,80,0,0,0,1,23,89,249,56
51,Sam,Beal,5,23,73,177,DB,90,51,59,58,29,6,18,15,47,48,20,83,62,85,67,55,90,0,0,0,0,24,94,74,73
52,Darnay,Holmes,5,30,70,195,DB,91,48,62,73,29,6,16,14,53,56,29,84,64,90,66,57,90,0,0,1,0,22,75,72,74
