INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Sam,Darnold,1,14,75,225,QB,78,48,59,32,17,81,18,14,31,36,88,86,72,81,34,28,88,0,0,0,0,23,89,276,99
1,Frank,Gore,5,21,69,212,RB,83,81,94,67,39,24,20,14,32,32,31,87,88,86,16,20,87,1,0,0,1,37,96,8,57
2,Ty,Johnson,5,25,71,215,RB,92,73,87,59,29,14,13,16,24,31,23,78,67,86,13,28,88,1,0,0,0,22,91,157,91
3,Jamison,Crowder,5,82,69,177,WR,90,82,74,84,26,24,30,30,35,25,48,85,88,95,17,12,88,1,0,0,1,27,99,183,69
4,Breshad,Perriman,1,19,74,215,WR,94,73,69,82,29,17,24,21,40,29,36,77,76,82,17,15,76,1,0,1,1,26,93,297,78
5,Braxton,Berrios,5,10,69,186,WR,91,71,72,77,24,12,18,13,29,25,19,81,72,91,21,15,82,1,0,0,0,24,82,171,53
6,Denzel,Mims,5,11,75,207,WR,92,73,73,83,34,34,17,15,40,40,50,89,70,92,26,34,93,1,1,1,0,22,78,316,79
7,Josh,Doctson,5,18,74,206,WR,88,75,75,83,26,17,23,22,32,34,25,83,61,87,26,15,84,1,0,1,0,27,79,149,92
8,Christopher,Herndon IV,1,89,76,253,TE,80,65,71,79,58,13,19,14,31,34,30,81,72,75,16,26,88,1,0,0,0,24,87,88,64
9,Mekhi,Becton,1,77,79,364,OL,69,25,40,19,83,7,20,20,31,42,25,82,89,59,13,20,84,0,0,0,1,21,90,19,74
10,Alex,Lewis,1,71,78,305,OL,64,6,29,18,75,7,25,25,20,30,28,86,84,60,13,33,89,0,1,1,1,28,77,128,87
11,Connor,McGovern,1,60,76,306,OL,68,10,33,19,76,7,20,21,27,30,21,85,84,70,13,25,90,1,0,1,0,27,94,133,92
12,Greg,Van Roten,1,62,75,303,OL,65,5,29,31,72,6,20,20,25,45,17,85,85,61,12,15,91,0,1,1,1,30,87,284,72
13,George,Fant,1,76,77,322,OL,77,38,61,71,72,7,15,11,55,55,13,87,78,75,12,63,86,0,0,0,1,28,77,225,52
14,John,Franklin-Myers,5,91,76,292,DL,79,24,26,20,46,10,16,12,74,75,20,74,82,74,29,83,90,1,0,0,0,23,77,279,86
15,Folorunso,Fatukasi,5,94,76,315,DL,63,10,26,17,48,6,10,15,79,77,20,73,79,69,23,81,88,1,0,0,1,25,80,71,90
16,Tanzel,Smart,5,79,73,290,DL,67,12,26,24,45,8,17,11,62,74,14,68,64,63,22,79,88,1,0,0,0,25,79,153,95
17,Quinnen,Williams,1,95,75,303,DL,78,16,39,25,49,7,17,17,88,86,23,73,83,79,24,84,91,1,0,0,0,22,84,64,89
18,Tarell,Basham,5,93,76,266,LB,82,25,34,41,46,7,24,16,70,75,24,76,69,79,47,85,93,1,0,1,0,26,75,174,93
19,C.J.,Mosley,5,57,74,250,LB,84,32,66,63,48,6,20,20,76,91,25,95,89,88,69,89,86,0,0,0,1,28,81,242,60
20,Patrick,Onwuasor,5,51,72,227,LB,84,29,48,57,44,6,20,17,76,83,25,88,78,82,62,84,87,0,0,1,0,28,91,238,86
21,Jordan,Jenkins,5,48,75,259,LB,75,14,48,31,43,7,21,18,76,81,23,78,71,80,58,83,86,1,0,0,0,26,96,60,76
22,Brian,Poole,5,34,70,213,DB,90,45,62,58,36,8,17,22,62,65,18,90,84,86,83,78,86,0,0,0,0,27,95,305,96
23,Blessuan,Austin,5,31,73,195,DB,90,50,60,58,34,28,21,24,50,56,41,88,77,85,74,57,78,1,1,0,0,24,79,106,99
24,Marcus,Maye,5,20,72,207,DB,90,42,65,62,37,13,25,25,52,75,25,88,87,86,81,87,87,1,0,0,0,27,70,185,55
25,Ashtyn,Davis,5,32,73,202,DB,92,61,64,64,33,8,18,17,53,67,37,90,74,90,71,83,87,1,1,1,1,23,92,311,74
26,Bryce,Hall,5,37,73,202,DB,88,48,64,69,35,7,15,14,53,56,35,87,76,85,72,57,85,0,1,1,1,22,73,104,77
27,Javelin,Guidry,5,40,69,191,DB,96,44,68,60,34,12,25,25,57,59,22,90,58,88,66,50,90,0,0,0,1,22,79,121,70
28,Chase,McLaughlin,1,3,72,175,K,73,15,45,20,14,24,93,70,15,20,45,84,51,64,17,12,81,0,1,0,1,24,82,6,79
29,Braden,Mann,1,7,71,198,P,78,20,25,17,22,15,95,79,26,44,28,87,56,83,25,12,88,0,1,0,0,22,92,219,59
30,Joe,Flacco,5,5,78,245,QB,72,41,59,17,19,78,25,24,25,29,90,75,70,66,17,12,93,1,0,0,1,35,84,93,99
31,James,Morgan,5,4,76,229,QB,74,31,58,17,16,72,20,14,22,23,90,87,61,70,14,27,89,0,1,0,1,23,99,43,80
32,Josh,Adams,1,36,74,225,RB,89,79,88,54,33,16,17,12,27,26,27,83,65,88,17,25,87,0,0,1,1,23,85,72,60
33,La'Mical,Perine,5,22,71,216,RB,85,74,90,59,39,14,20,16,41,44,29,82,71,81,28,44,88,0,0,0,1,22,81,277,53
34,Josh,Malone,5,83,75,208,WR,91,66,74,80,36,19,18,16,30,28,28,78,63,85,20,30,89,1,1,0,0,24,75,231,68
35,Jaleel,Scott,1,18,77,210,WR,87,74,75,81,27,14,14,17,27,27,25,80,61,80,15,20,89,0,0,1,1,25,91,94,59
36,Ryan,Griffin,5,84,78,255,TE,73,52,73,78,58,10,33,35,54,50,30,82,71,81,13,20,88,1,1,1,0,30,91,289,79
37,Cameron,Clark,5,72,76,308,OL,63,5,27,17,70,7,25,25,14,27,30,84,69,59,12,12,88,0,0,1,0,22,80,263,76
38,Pat,Elflein,5,67,75,303,OL,62,12,29,18,75,7,20,24,37,32,22,88,76,60,14,42,92,0,0,1,0,26,80,144,73
39,Josh,Andrews,1,68,74,298,OL,69,6,40,15,67,6,25,25,28,35,30,87,57,69,13,55,92,0,0,0,1,29,86,164,70
40,Chuma,Edoga,3,75,75,308,OL,67,9,24,22,73,5,40,30,26,36,23,84,77,70,13,35,83,0,0,0,0,23,71,164,93
41,Henry,Anderson,5,96,78,301,DL,72,10,45,29,46,7,17,25,79,85,19,74,75,72,27,76,82,1,0,0,1,29,83,327,74
42,Nathan,Shepherd,5,97,76,315,DL,70,24,36,29,46,8,16,12,70,77,30,80,70,76,24,78,90,1,0,0,0,26,83,132,98
43,Frankie,Luvu,1,50,75,236,LB,78,25,48,41,45,7,16,12,67,77,34,80,71,84,45,86,89,0,0,1,0,23,85,28,97
44,Blake,Cashman,1,53,73,235,LB,89,12,52,35,46,6,19,14,72,84,25,91,67,85,64,83,78,0,1,0,0,24,67,30,89
45,Bryce,Huff,5,47,75,255,LB,83,10,40,30,44,7,15,16,61,78,28,83,58,78,43,80,91,0,1,0,0,22,87,281,89
46,Corey,Ballentine,1,27,71,196,DB,90,54,52,59,28,7,18,17,55,58,22,91,64,89,67,68,88,0,0,1,0,24,93,107,78
47,Matthias,Farley,5,41,71,204,DB,88,29,58,58,34,7,23,19,62,71,26,88,70,83,71,72,90,1,0,0,0,28,66,306,85
48,Bradley,McDougald,1,30,73,215,DB,86,50,67,72,35,8,28,24,48,73,27,90,81,84,75,69,89,0,0,1,1,29,87,80,60
49,Sam,Ficken,5,9,73,191,K,74,16,31,16,12,22,89,68,15,41,29,84,55,64,12,12,82,1,0,0,0,27,91,150,57
50,Kyle,Phillips,5,98,76,273,DL,84,29,40,22,45,6,26,19,72,77,27,70,66,75,32,79,86,0,0,1,0,23,91,198,62
51,Neville,Hewitt,5,46,74,232,LB,83,20,49,43,46,7,16,20,64,83,22,85,78,78,64,83,88,0,1,0,0,27,79,308,92
52,Jabari,Zuniga,5,92,75,264,LB,84,19,39,26,46,6,23,19,71,75,24,76,70,76,39,80,86,0,0,1,0,23,80,325,78
