INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Rich,Gannon,1,12,75,214,QB,85,52,63,33,14,80,22,21,18,18,89,92,88,78,14,12,91,0,1,0,0,37,95,325,59
1,Charlie,Garner,5,25,75,225,RB,86,83,86,72,57,41,20,22,35,39,40,78,78,84,22,45,86,1,0,1,0,30,92,76,54
2,Jon,Ritchie,1,40,73,250,RB,78,68,84,70,73,22,25,21,45,45,25,95,84,82,13,65,87,0,1,0,0,26,95,325,52
3,Larry,Rowland,5,80,73,214,WR,84,83,76,84,50,29,24,26,40,40,26,85,82,85,16,12,90,1,0,0,0,40,94,22,53
4,Tim,Brown,5,81,73,211,WR,90,70,75,79,47,43,25,21,35,25,45,84,78,86,20,15,85,1,0,0,0,36,84,315,58
5,Jerry,Porter,5,84,74,196,WR,90,64,76,78,45,30,20,20,35,32,30,90,79,91,23,12,84,1,1,0,1,24,79,189,61
6,Alvis,Whitted,5,87,75,245,WR,77,71,71,81,54,29,22,12,49,45,29,96,75,75,16,12,88,1,0,0,0,26,72,101,51
7,Marcus,Knight,5,83,76,210,WR,86,67,75,77,38,22,17,12,57,27,35,82,74,84,14,12,84,1,0,0,0,22,97,291,56
8,Roland,Williams,5,86,76,258,TE,79,68,76,82,62,33,33,32,45,45,35,88,68,77,14,44,87,0,0,0,0,27,78,302,54
9,Barry,Sims,5,65,76,340,OL,65,20,45,55,87,8,8,7,17,25,10,89,91,57,14,12,79,1,0,0,1,28,80,269,67
10,Barret,Robbins,1,63,74,300,OL,61,16,40,34,86,10,11,15,41,45,12,92,88,67,13,20,85,0,1,1,1,29,81,242,85
11,Lincoln,Kennedy,1,72,79,330,OL,55,15,40,20,89,30,16,15,27,27,37,90,83,60,12,33,80,0,1,1,0,31,94,70,75
12,Mo,Collins,5,79,75,336,OL,55,17,30,44,87,11,22,20,35,35,19,92,83,52,12,25,82,0,0,1,0,26,90,232,87
13,Frank,Middleton,5,73,77,330,OL,63,14,40,19,86,21,21,32,22,32,29,80,81,61,10,22,76,0,0,1,0,28,82,93,93
14,Trace,Armstrong,1,93,75,280,DL,70,18,45,58,45,19,21,25,80,80,33,83,88,71,29,88,83,1,0,1,0,37,76,207,69
15,Sam,Adams,5,95,75,315,DL,59,12,40,40,45,9,8,6,80,80,10,84,86,59,15,77,78,0,1,0,0,29,79,269,99
16,John,Parrella,1,97,74,334,DL,71,26,40,40,45,25,20,20,81,87,25,88,69,62,18,74,73,0,1,0,1,33,83,145,76
17,DeLawrence,Grant,5,99,76,251,DL,78,20,28,51,20,26,18,21,78,66,16,86,78,75,30,75,85,1,1,1,0,23,85,90,81
18,Bill,Romanowski,1,53,75,265,LB,79,53,60,60,45,25,24,22,93,80,32,86,83,76,62,78,95,1,0,0,1,36,75,18,92
19,Napoleon,Harris,1,58,72,231,LB,86,56,64,68,45,19,14,17,67,79,20,85,72,79,73,73,91,0,1,1,0,23,86,269,96
20,Eric,Barton,5,50,72,226,LB,88,51,40,72,45,30,20,20,64,83,27,88,79,82,68,76,80,1,0,1,1,25,76,35,83
21,Tim,Johnson,5,51,75,260,LB,77,37,65,67,45,25,26,20,80,80,25,90,75,79,68,77,88,1,1,1,1,22,92,304,91
22,Charles,Woodson,5,24,75,218,DB,86,59,68,66,45,34,36,33,42,65,38,96,90,93,85,71,94,0,0,1,0,30,87,9,69
23,Rod,Woodson,3,26,71,210,DB,89,52,62,78,45,29,15,30,52,72,25,95,81,91,84,74,96,1,0,0,0,37,92,235,59
24,Tory,James,5,20,73,194,DB,90,56,66,75,45,35,15,11,54,69,37,91,82,85,85,63,93,1,1,0,0,29,77,65,84
25,Derek,Combs,5,43,73,210,DB,86,48,65,72,45,21,28,24,58,71,27,81,76,85,70,67,92,1,0,1,1,27,89,69,90
26,Anthony,Dorsett,5,33,72,204,DB,91,57,67,54,45,22,10,11,39,66,24,74,73,90,72,55,89,1,0,1,0,26,80,224,83
27,Terrance,Shaw,5,22,71,190,DB,90,66,65,65,45,30,18,19,47,66,30,76,69,94,70,77,91,0,1,0,0,27,88,59,91
28,Sebastian,Janikowski,1,11,73,258,K,64,18,40,25,30,16,97,85,30,44,24,90,81,60,15,30,84,0,0,0,1,24,95,147,71
29,Shane,Lechler,1,9,72,192,P,81,46,60,44,21,35,94,91,31,33,42,90,84,77,21,24,85,0,0,0,0,26,82,159,54
30,Travian,Smith,5,56,71,225,LB,87,47,65,64,45,30,20,20,62,79,25,88,58,81,74,86,91,1,1,1,0,30,78,250,76
31,Mike,Jones,3,52,71,233,LB,76,41,55,45,45,10,25,21,78,83,10,87,62,75,61,87,84,0,0,1,0,28,93,56,100
32,Roderick,Coleman,5,57,74,236,LB,84,45,55,58,45,30,28,28,72,79,34,67,55,80,72,78,85,1,0,0,0,28,90,146,57
33,Kenyon,Coleman,5,90,74,234,LB,86,38,60,56,45,35,16,20,64,73,22,75,52,88,72,73,85,0,0,0,1,25,85,95,61
34,Tyrone,Wheatley,5,34,71,215,RB,90,83,80,70,50,10,11,10,26,25,11,75,80,88,16,20,80,1,1,1,1,28,72,235,95
35,Terry,Kirby,5,42,73,240,RB,86,65,72,67,69,20,25,24,45,46,30,92,71,73,14,60,81,0,0,0,1,31,86,180,66
36,Tony,Bryant,5,94,75,310,DL,66,14,40,35,45,26,25,25,79,72,26,85,71,62,25,75,79,1,1,1,0,24,89,262,99
37,Derrick,Gibson,5,36,70,205,DB,87,39,55,58,26,10,12,19,62,80,22,78,59,88,66,76,95,1,0,0,1,23,74,149,73
38,Zack,Crockett,5,32,72,195,RB,88,76,75,77,27,30,22,22,45,38,30,88,74,92,74,39,85,0,0,0,0,28,80,292,94
39,Chris,Cooper,1,75,77,300,DL,73,35,52,44,45,19,14,15,76,75,29,90,63,78,57,70,66,0,0,1,0,36,67,274,53
40,Phillip,Buchanon,5,31,75,211,DB,88,56,69,57,45,21,14,16,52,66,14,84,57,88,73,71,90,1,0,0,1,22,90,323,77
41,Marques,Tuiasosopo,3,8,73,210,QB,75,48,65,35,20,74,22,15,23,23,79,92,68,68,21,12,88,0,1,0,1,23,82,80,99
42,Randy,Jordan,5,28,73,218,RB,89,70,76,70,48,33,20,22,35,35,35,93,55,87,22,35,85,0,1,0,0,28,83,86,78
43,Doug,Jolley,1,88,78,265,TE,72,62,72,69,77,35,20,15,40,40,40,85,73,72,18,15,78,0,0,1,1,24,79,93,89
44,Brad,Badger,1,70,77,315,OL,61,32,55,60,77,25,59,53,50,45,32,92,71,72,11,45,84,0,1,1,0,23,93,179,53
45,Brandon,Jennings,5,39,73,200,DB,91,43,64,54,45,22,15,13,40,58,20,92,62,87,74,35,89,0,0,0,0,27,85,38,81
46,Regan,Upshaw,5,91,77,297,DL,64,27,28,21,26,11,16,24,78,74,11,78,55,65,30,75,75,0,0,0,0,28,74,102,95
47,Langston,Walker,5,66,77,309,OL,53,17,35,35,77,24,25,25,15,35,24,91,67,68,14,15,87,0,1,0,0,24,78,19,73
48,Carey,Scott,5,27,72,220,DB,91,55,70,73,45,30,20,15,57,61,30,93,53,85,68,80,85,0,0,0,0,35,75,128,98
49,Adam,Treu,1,62,75,280,OL,67,20,74,62,69,22,29,18,60,68,32,90,79,64,20,72,82,0,0,1,1,22,94,177,65
50,Matt,Stinchcomb,1,74,76,323,OL,62,19,40,35,75,40,22,17,29,41,23,90,65,51,12,35,79,0,0,0,1,23,78,226,65
51,Eric,Johnson,5,41,73,200,DB,91,55,64,60,45,25,15,14,51,45,35,90,47,89,71,61,86,1,0,1,0,22,96,276,69
52,Clarence,Love,1,38,72,186,DB,89,28,59,64,32,36,19,13,43,49,26,68,45,88,76,54,81,0,0,1,1,23,91,207,63
