INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Carson,Wentz,1,11,77,237,QB,81,72,61,38,16,86,24,18,21,30,90,84,84,81,15,11,76,0,0,1,1,27,96,315,71
1,Miles,Sanders,1,26,71,211,RB,90,79,90,70,41,25,16,12,26,33,29,88,82,89,15,22,88,1,0,0,0,23,97,311,77
2,Corey,Clement,1,30,70,220,RB,87,79,87,69,47,26,18,14,27,28,37,85,69,89,21,26,80,0,0,0,1,25,88,310,92
3,Alshon,Jeffery,5,17,75,218,WR,88,74,81,87,46,29,18,18,54,35,40,87,89,88,20,15,84,1,0,0,1,30,97,238,98
4,DeSean,Jackson,5,10,70,175,WR,95,76,70,87,34,29,30,30,35,22,38,81,77,94,25,12,84,1,0,0,1,33,78,249,56
5,Marquise,Goodwin,5,13,69,185,WR,97,74,76,81,34,10,21,20,37,25,34,85,70,91,21,15,82,1,0,1,0,29,94,127,73
6,J.J.,Arcega-Whiteside,5,19,74,225,WR,89,76,77,82,46,10,19,16,34,36,34,88,73,78,20,21,82,0,1,0,0,23,91,76,96
7,Jalen,Reagor,5,18,71,206,WR,93,75,69,79,33,15,18,16,26,28,31,90,67,94,18,25,87,0,0,0,0,21,91,65,71
8,Zach,Ertz,1,86,77,250,TE,82,70,80,92,59,10,22,22,44,36,42,86,97,82,18,12,97,0,0,1,0,29,75,262,64
9,Andre,Dillard,5,77,77,306,OL,74,7,38,22,75,6,22,21,35,36,30,89,75,72,14,33,91,0,0,0,1,24,78,159,71
10,Isaac,Seumalo,1,73,76,303,OL,65,8,29,20,75,6,22,21,35,33,24,87,79,72,17,48,86,0,1,0,0,26,77,108,71
