INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Ben,Roethlisberger,2,7,77,240,QB,72,64,60,52,12,85,63,59,45,47,88,86,90,67,12,12,85,0,0,0,0,38,90,301,50
1,James,Conner,4,30,73,233,RB,86,87,89,70,54,14,18,16,28,33,23,88,83,82,12,37,92,0,0,0,0,25,99,298,50
2,Benny,Snell,2,24,70,224,RB,85,81,91,64,46,26,20,22,34,37,32,94,78,82,17,32,90,0,1,0,0,22,81,218,50
3,JuJu,Smith-Schuster,5,19,73,215,WR,91,82,77,90,47,18,24,17,28,43,34,90,89,88,41,41,91,0,1,1,1,23,67,132,50
4,James,Washington,5,13,71,213,WR,91,79,77,83,39,13,20,13,18,32,29,93,76,85,19,26,86,1,0,0,0,24,95,117,50
5,Diontae,Johnson,4,18,70,181,WR,91,77,72,86,30,43,52,52,26,29,53,89,79,92,18,14,84,0,1,0,0,24,82,255,50
6,Ryan,Switzer,4,10,68,185,WR,90,72,66,81,38,46,21,20,32,33,58,92,66,93,21,29,84,0,0,0,0,25,65,230,50
7,Chase,Claypool,6,11,76,238,WR,92,78,78,79,48,32,21,15,50,43,47,87,70,78,45,45,86,0,0,1,1,22,74,69,50
8,Eric,Ebron,2,85,76,253,TE,87,75,77,83,58,24,24,19,57,54,43,88,85,85,17,12,86,0,0,0,0,27,75,295,50
9,Alejandro,Villanueva,1,78,81,325,OL,71,26,71,68,83,6,19,19,56,39,22,88,89,74,13,62,74,0,0,0,0,31,95,222,50
13,Stefen,Wisniewski,2,61,75,305,OL,59,8,40,22,74,6,33,36,16,35,33,94,77,63,10,20,84,1,0,1,0,31,91,24,50
11,Maurkice,Pouncey,2,53,76,304,OL,62,11,32,34,85,6,15,10,24,35,12,87,92,68,12,20,88,0,0,1,0,31,74,128,50
12,David,DeCastro,1,66,77,316,OL,59,8,39,25,91,6,33,36,26,39,33,91,84,71,10,25,90,0,1,1,0,30,80,322,50
13,Matt,Feiler,5,71,78,330,OL,59,14,49,51,76,5,24,18,52,57,27,87,78,51,11,61,83,1,0,1,0,28,91,24,50
14,Stephon,Tuitt,3,91,78,303,DL,74,10,50,47,36,6,15,17,90,87,24,84,94,68,24,82,73,1,0,0,1,27,75,71,50
15,Chris,Wormley,4,95,77,300,DL,77,14,27,31,34,6,10,13,59,77,21,90,65,78,25,80,74,1,0,0,0,26,91,10,50
16,Dan,McCullers,6,93,79,352,DL,60,10,39,30,41,6,23,17,64,81,25,88,73,51,22,68,60,0,0,0,0,28,83,195,50
17,Cameron,Heyward,5,97,77,295,DL,71,11,39,25,35,6,12,11,87,91,21,89,97,70,25,87,86,0,0,0,1,31,85,119,50
18,Stephon,Tuitt,3,91,78,303,DL,74,10,50,47,36,6,15,17,90,87,24,84,94,68,24,82,73,0,1,0,0,27,78,121,50
19,Vince,Williams,5,98,73,233,LB,82,10,60,55,37,6,25,21,75,86,29,81,86,74,59,88,87,0,1,0,1,30,88,65,50
20,Devin,Bush,5,55,71,234,LB,90,19,56,63,37,6,12,13,70,83,14,89,80,86,65,88,90,0,1,0,1,22,73,79,50
21,Bud,Dupree,5,48,76,269,LB,87,15,50,62,36,6,25,20,78,82,33,89,84,78,52,88,86,1,0,0,0,27,69,99,50
22,Joe,Haden,5,23,71,195,DB,88,75,60,76,27,6,10,11,47,52,35,95,91,89,82,72,98,1,0,1,1,31,93,310,50
23,Mike,Hilton,5,28,69,184,DB,87,59,57,64,18,21,11,10,61,65,22,87,85,90,83,36,86,0,1,0,1,26,78,291,50
24,Terrell,Edmunds,4,34,73,217,DB,90,57,71,67,28,7,18,13,64,71,25,88,72,84,73,87,90,0,0,0,1,23,73,14,50
25,Minkah,Fitzpatrick,4,39,73,207,DB,90,58,66,71,29,6,15,13,55,65,15,94,89,92,85,81,93,1,0,0,0,23,78,197,50
26,Steven,Nelson,4,22,71,194,DB,89,55,59,68,27,6,15,14,63,60,26,94,86,91,81,60,90,0,1,0,1,27,80,225,50
27,Justin,Layne,4,31,74,192,DB,89,55,64,69,24,10,25,22,51,59,35,90,66,87,70,50,87,0,0,0,1,22,79,207,50
28,Chris,Boswell,2,9,74,185,K,73,12,45,29,16,32,92,91,10,35,29,92,70,66,12,15,84,0,1,0,1,29,89,144,50
29,Jordan,Berry,2,4,77,195,P,73,11,35,32,26,23,91,79,25,27,40,88,63,59,12,19,90,0,1,0,1,29,78,260,50
30,Mason,Rudolph,6,2,77,235,QB,76,51,66,40,17,79,20,16,22,31,84,91,64,71,13,17,67,0,0,0,0,25,90,213,50
31,Devlin,Hodges,6,6,73,210,QB,77,50,57,33,17,76,57,50,22,14,83,85,62,71,11,12,68,1,0,0,0,24,93,26,50
32,Paxton,Lynch,6,5,79,244,QB,78,60,63,36,21,67,21,20,21,24,86,84,61,79,15,34,72,0,1,0,1,26,93,219,50
33,Jaylen,Samuels,2,38,72,225,RB,88,72,81,73,61,36,11,19,28,30,38,91,74,85,12,26,88,0,0,0,0,24,95,261,50
34,Anthony,McFarland,6,26,68,193,RB,91,75,82,62,31,15,18,13,20,25,26,85,62,89,12,16,80,0,0,0,1,21,81,110,50
35,Deon,Cain,2,17,74,202,WR,91,72,75,76,42,28,17,13,23,46,47,90,55,91,15,28,82,0,1,0,1,24,75,87,50
36,Amara,Darboh,2,82,74,216,WR,89,62,75,82,45,10,18,13,32,27,24,90,50,87,18,18,81,0,0,0,1,26,81,214,50
37,Vance,McDonald,6,89,76,267,TE,81,70,71,83,62,32,15,14,51,42,35,84,78,77,29,55,92,0,0,0,0,30,76,225,50
38,Zach,Gentry,4,81,80,265,TE,80,57,68,75,52,48,14,22,22,32,63,88,63,77,16,15,80,1,0,0,0,23,82,9,50
39,Chukwuma,Okorafor,2,76,78,320,OL,62,12,27,24,74,6,18,13,24,28,18,91,63,61,12,29,88,1,0,1,0,23,74,61,50
40,Kevin,Dotson,6,69,76,321,OL,66,9,28,30,70,6,11,11,30,34,25,94,63,60,12,25,90,0,0,1,0,23,75,296,50
41,J.C.,Hassenauer,4,60,74,295,OL,65,6,40,30,64,6,16,12,29,35,31,87,58,55,15,20,85,0,1,0,0,24,78,328,50
42,Christian,DiLauro,5,74,78,300,OL,71,6,20,22,64,6,12,11,20,30,22,86,48,64,13,25,81,1,0,0,0,25,91,252,50
43,Zach,Banner,4,72,80,361,OL,53,10,26,28,70,6,20,20,36,34,25,85,59,53,13,38,80,1,0,1,1,26,97,281,50
44,Tyson,Alualu,4,94,75,304,DL,72,10,35,28,35,6,33,30,75,80,27,95,79,69,25,84,67,1,1,0,0,33,79,202,50
45,Dan,McCullers,4,93,79,352,DL,60,10,39,30,41,6,23,17,64,81,25,88,73,51,22,68,60,1,0,0,1,28,69,320,50
46,Isaiah,Buggs,1,96,75,295,DL,67,24,40,36,36,6,20,20,72,76,20,88,68,60,24,74,71,1,1,0,1,24,80,166,50
47,Tuzar,Skipper,6,51,75,246,LB,76,26,41,52,37,6,20,20,65,79,25,87,54,80,44,79,79,1,0,0,0,25,72,47,50
48,Devin,Bush,4,55,71,234,LB,90,19,56,63,37,6,12,13,70,83,14,89,80,86,65,88,90,1,1,1,0,22,76,220,50
49,Ulysees,Gilbert,2,54,72,225,LB,88,35,61,56,37,6,18,12,66,81,23,87,60,83,59,77,86,0,1,0,1,23,82,241,50
