INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Jimmy,Garoppolo,3,10.0,74.0,225.0,QB,72.0,52.0,62.0,25.0,15.0,83.0,20.0,10.0,16.0,16.0,88.0,87.0,79.0,76.0,18.0,12.0,86.0,0,0,0,1,29.0,96,74,90
1,Raheem,Mostert,5,31.0,70.0,205.0,RB,97.0,82.0,88.0,56.0,35.0,22.0,25.0,25.0,27.0,41.0,30.0,89.0,85.0,90.0,17.0,20.0,82.0,1,1,0,1,29.0,95,332,95
2,Trey,Sermon,5,28.0,72.0,215.0,RB,86.0,80.0,95.0,55.0,44.0,27.0,23.0,16.0,31.0,34.0,38.0,85.0,67.0,89.0,14.0,31.0,80.0,0,0,0,1,22.0,86,104,56
3,Deebo,Samuel,5,19.0,71.0,215.0,WR,92.0,88.0,73.0,85.0,30.0,27.0,15.0,12.0,43.0,46.0,40.0,79.0,88.0,88.0,25.0,39.0,88.0,0,1,0,0,25.0,85,38,95
4,Brandon,Aiyuk,5,11.0,72.0,200.0,WR,91.0,80.0,72.0,82.0,31.0,21.0,19.0,13.0,50.0,49.0,33.0,84.0,81.0,91.0,50.0,50.0,92.0,1,0,1,1,23.0,89,4,82
5,Mohamed,Sanu Sr,5,18.0,74.0,210.0,WR,86.0,76.0,79.0,84.0,42.0,55.0,64.0,49.0,60.0,47.0,80.0,86.0,72.0,85.0,45.0,15.0,93.0,1,1,0,0,32.0,92,44,70
6,Richie,James Jr,5,13.0,69.0,185.0,WR,91.0,74.0,73.0,80.0,32.0,32.0,16.0,11.0,23.0,27.0,46.0,82.0,75.0,90.0,19.0,17.0,86.0,0,0,0,0,25.0,87,324,63
7,Travis,Benjamin,5,17.0,70.0,175.0,WR,91.0,74.0,74.0,79.0,28.0,12.0,20.0,15.0,35.0,20.0,30.0,80.0,66.0,89.0,17.0,12.0,81.0,0,0,1,1,31.0,79,128,80
8,George,Kittle,1,85.0,76.0,250.0,TE,88.0,81.0,79.0,88.0,68.0,13.0,19.0,22.0,31.0,34.0,30.0,92.0,94.0,84.0,19.0,38.0,86.0,1,0,0,1,27.0,92,198,80
9,Trent,Williams,1,71.0,77.0,320.0,OL,76.0,7.0,40.0,28.0,93.0,7.0,11.0,10.0,32.0,39.0,12.0,85.0,94.0,74.0,12.0,60.0,84.0,0,0,1,1,33.0,92,310,79
10,Laken,Tomlinson,1,75.0,75.0,312.0,OL,65.0,5.0,25.0,14.0,81.0,7.0,20.0,20.0,20.0,35.0,20.0,85.0,87.0,60.0,13.0,20.0,92.0,0,0,0,0,29.0,81,311,63
11,Alex,Mack,1,50.0,76.0,311.0,OL,62.0,8.0,55.0,19.0,86.0,6.0,19.0,16.0,26.0,26.0,17.0,90.0,91.0,68.0,9.0,20.0,98.0,0,0,1,1,35.0,95,302,79
12,Aaron,Banks,1,65.0,77.0,325.0,OL,61.0,5.0,31.0,17.0,72.0,7.0,19.0,22.0,15.0,25.0,25.0,84.0,74.0,60.0,13.0,29.0,85.0,0,1,1,1,23.0,94,311,67
13,Mike,McGlinchey,5,69.0,80.0,310.0,OL,70.0,11.0,33.0,20.0,83.0,7.0,15.0,12.0,32.0,32.0,11.0,86.0,75.0,74.0,12.0,38.0,94.0,0,0,0,1,26.0,81,43,63
14,Arik,Armstead,5,91.0,79.0,292.0,DL,73.0,16.0,44.0,21.0,46.0,8.0,30.0,30.0,87.0,87.0,35.0,80.0,89.0,70.0,36.0,80.0,82.0,1,0,1,1,27.0,83,153,98
15,Javon,Kinlaw,5,99.0,77.0,319.0,DL,72.0,16.0,34.0,21.0,48.0,8.0,19.0,12.0,75.0,82.0,24.0,80.0,81.0,76.0,21.0,80.0,90.0,1,1,0,1,23.0,94,126,85
16,Maurice,Hurst,5,96.0,74.0,291.0,DL,73.0,23.0,31.0,31.0,48.0,6.0,14.0,12.0,77.0,83.0,12.0,80.0,76.0,67.0,27.0,82.0,83.0,1,0,1,0,26.0,96,166,68
17,Nick,Bosa,5,97.0,76.0,266.0,DL,79.0,21.0,38.0,31.0,46.0,7.0,17.0,17.0,80.0,85.0,25.0,86.0,93.0,86.0,36.0,84.0,86.0,1,0,1,1,23.0,80,204,80
18,Dre,Greenlaw,5,57.0,72.0,230.0,LB,84.0,37.0,55.0,51.0,46.0,7.0,18.0,12.0,69.0,87.0,20.0,88.0,84.0,80.0,70.0,84.0,85.0,1,0,1,0,24.0,79,197,69
19,Fred,Warner,5,54.0,75.0,230.0,LB,85.0,21.0,63.0,64.0,46.0,6.0,13.0,10.0,80.0,88.0,14.0,91.0,99.0,85.0,80.0,80.0,86.0,0,0,1,0,24.0,74,122,97
20,Nathan,Gerry,5,47.0,74.0,230.0,LB,87.0,33.0,69.0,70.0,46.0,7.0,19.0,15.0,66.0,78.0,30.0,84.0,72.0,82.0,58.0,83.0,87.0,1,0,1,1,26.0,92,152,94
21,Jason,Verrett,5,2.0,70.0,188.0,DB,91.0,69.0,59.0,73.0,34.0,7.0,30.0,25.0,43.0,59.0,22.0,95.0,90.0,90.0,84.0,65.0,70.0,1,1,0,1,30.0,89,115,90
22,K'Waun,Williams,5,24.0,69.0,185.0,DB,86.0,62.0,61.0,68.0,33.0,6.0,26.0,26.0,57.0,62.0,36.0,92.0,85.0,90.0,82.0,65.0,91.0,0,0,1,0,30.0,67,313,61
23,Jaquiski,Tartt,5,26.0,73.0,215.0,DB,89.0,30.0,62.0,57.0,36.0,7.0,19.0,22.0,66.0,74.0,21.0,87.0,80.0,83.0,79.0,86.0,91.0,1,1,0,0,29.0,98,299,99
24,Jimmie,Ward,5,1.0,71.0,195.0,DB,88.0,34.0,65.0,61.0,34.0,8.0,23.0,19.0,48.0,74.0,28.0,90.0,89.0,86.0,79.0,86.0,77.0,1,0,1,0,30.0,88,172,92
25,Emmanuel,Moseley,5,4.0,71.0,190.0,DB,92.0,43.0,53.0,49.0,29.0,7.0,10.0,11.0,47.0,53.0,25.0,89.0,72.0,88.0,76.0,59.0,92.0,1,1,0,0,25.0,76,224,65
26,Dontae,Johnson,5,27.0,74.0,200.0,DB,88.0,56.0,61.0,53.0,33.0,6.0,18.0,19.0,47.0,57.0,25.0,90.0,68.0,87.0,67.0,60.0,92.0,1,0,1,0,29.0,77,325,81
27,Robbie,Gould,5,9.0,72.0,190.0,K,57.0,17.0,40.0,12.0,16.0,27.0,94.0,86.0,23.0,23.0,29.0,75.0,70.0,51.0,12.0,12.0,90.0,1,1,1,0,38.0,86,309,69
28,Mitch,Wishnowsky,1,6.0,74.0,220.0,P,84.0,29.0,50.0,21.0,11.0,23.0,93.0,86.0,23.0,52.0,34.0,87.0,66.0,71.0,18.0,63.0,84.0,0,1,0,0,29.0,77,237,62
29,Trey,Lance,1,5.0,76.0,224.0,QB,87.0,77.0,68.0,39.0,21.0,80.0,29.0,18.0,38.0,52.0,91.0,84.0,74.0,87.0,36.0,50.0,89.0,0,0,0,1,21.0,89,303,80
30,Josh,Rosen,3,3.0,76.0,226.0,QB,75.0,44.0,62.0,18.0,15.0,77.0,18.0,17.0,20.0,25.0,89.0,75.0,65.0,67.0,13.0,22.0,86.0,0,0,0,1,24.0,83,68,70
31,Wayne,Gallman Jr,5,22.0,72.0,216.0,RB,89.0,80.0,88.0,57.0,41.0,12.0,22.0,21.0,35.0,36.0,35.0,84.0,77.0,83.0,15.0,41.0,89.0,0,1,1,1,26.0,79,90,69
32,Jeff,Wilson Jr,1,30.0,72.0,215.0,RB,87.0,78.0,82.0,54.0,35.0,19.0,18.0,12.0,30.0,35.0,30.0,85.0,76.0,84.0,12.0,16.0,81.0,0,0,0,0,25.0,75,89,92
33,Bennie,Fowler III,5,8.0,73.0,218.0,WR,88.0,68.0,69.0,80.0,34.0,12.0,25.0,30.0,52.0,42.0,30.0,82.0,65.0,84.0,21.0,15.0,82.0,0,1,1,0,30.0,95,59,86
34,Jalen,Hurd,5,14.0,76.0,230.0,WR,89.0,78.0,78.0,78.0,30.0,24.0,19.0,15.0,32.0,35.0,36.0,80.0,67.0,91.0,25.0,29.0,74.0,1,0,0,0,25.0,82,29,55
35,Ross,Dwelley,1,82.0,77.0,235.0,TE,77.0,50.0,72.0,80.0,56.0,10.0,18.0,15.0,29.0,33.0,30.0,78.0,77.0,72.0,17.0,27.0,87.0,1,0,0,1,26.0,89,322,77
