INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Russell,Wilson,5,3,71,215,QB,86,83,66,68,30,94,10,19,16,26,91,98,96,93,14,12,98,0,1,0,0,31,96,217,97
1,Chris,Carson,5,32,71,222,RB,88,92,87,64,45,17,21,20,26,30,26,84,90,83,16,36,89,0,0,1,0,25,96,115,91
2,Carlos,Hyde,5,24,72,229,RB,87,83,84,67,56,28,25,25,25,25,35,86,86,90,17,12,85,1,0,0,0,29,89,98,56
3,Tyler,Lockett,5,16,70,182,WR,93,86,73,93,35,10,30,25,25,25,30,86,91,97,17,12,89,0,1,1,0,27,83,29,68
4,D.K.,Metcalf,5,14,75,229,WR,95,83,77,82,40,13,18,13,38,33,34,81,81,81,22,30,85,1,1,0,1,22,97,68,72
5,Phillip,Dorsett,5,11,70,192,WR,94,76,71,87,38,10,21,15,28,20,34,83,78,91,21,14,82,1,0,1,0,27,77,19,97
6,David,Moore,5,83,72,215,WR,91,76,72,85,48,23,33,25,33,32,35,91,81,83,21,28,80,1,0,0,1,25,76,268,89
7,John,Ursua,5,15,69,182,WR,87,73,74,77,31,33,16,10,23,24,42,88,64,89,18,15,83,1,0,0,1,26,90,229,75
8,Greg,Olsen,3,88,77,255,TE,82,64,73,91,56,10,26,22,53,40,20,86,89,78,13,20,95,1,1,0,0,35,82,245,55
9,Duane,Brown,5,76,76,315,OL,72,20,35,66,85,6,25,25,30,50,26,93,90,64,17,30,89,0,1,0,1,35,89,176,82
10,Mike,Iupati,1,70,77,331,OL,60,8,40,32,77,6,35,22,40,31,14,88,85,65,12,33,80,0,0,1,0,33,81,304,87
11,B.J.,Finney,5,67,76,318,OL,63,6,39,35,65,6,22,22,10,35,26,92,77,66,12,12,84,0,0,0,0,28,92,115,81
