INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Tom,Brady,1,12,76,225,QB,59,31,69,28,20,92,18,17,33,32,91,99,99,70,15,12,99,0,1,0,0,44,98,308,85
1,Ronald,Jones II,1,27,71,210,RB,91,77,85,57,31,15,20,15,23,29,26,86,78,93,15,16,87,0,1,0,0,24,97,90,79
2,Leonard,Fournette,5,7,72,228,RB,91,82,97,56,42,27,18,20,40,41,46,95,79,84,15,50,82,0,0,1,0,26,96,197,95
3,Mike,Evans,5,13,77,231,WR,90,77,79,93,39,19,25,24,35,39,35,97,94,84,33,15,91,0,1,1,0,28,74,200,70
4,Chris,Godwin,1,14,73,205,WR,91,79,73,91,32,16,25,21,28,27,33,88,90,91,20,33,96,1,0,1,0,25,89,316,77
5,Antonio,Brown,1,81,70,181,WR,90,84,79,93,33,38,30,18,40,25,61,91,82,91,17,15,94,1,1,1,1,33,94,259,64
6,Scotty,Miller,5,10,69,174,WR,94,66,72,82,21,27,17,13,24,27,35,80,80,86,22,18,88,0,1,1,0,24,87,22,93
7,Tyler,Johnson,5,18,73,206,WR,88,75,70,81,30,47,19,16,32,37,56,89,73,83,30,30,88,1,0,1,0,23,79,49,62
8,Rob,Gronkowski,1,87,78,268,TE,80,79,78,89,66,11,22,19,43,20,36,86,85,78,14,25,78,0,1,0,0,32,73,239,91
9,Donovan,Smith,1,76,78,338,OL,70,5,25,15,75,7,25,25,25,43,30,80,90,62,17,30,90,0,0,0,0,28,80,188,64
10,Ali,Marpet,5,74,76,307,OL,71,6,45,25,88,7,25,25,20,37,30,82,95,74,13,20,90,0,0,1,0,28,76,66,95
11,Ryan,Jensen,5,66,76,319,OL,65,9,26,21,87,7,13,10,36,48,10,82,97,64,12,31,97,0,0,0,0,30,81,247,52
12,Alex,Cappa,5,65,78,305,OL,61,35,46,42,78,8,21,18,39,43,16,90,88,60,12,35,89,0,0,1,0,26,90,106,77
