INDEX,FIRST,LAST,SKIN,NUMBER,HEIGHT,WEIGHT,POS,SPEED,TLK BRK,FUMBLE,CATCH,BLKING,THR ACC,KCK PWR,KCK ACC,BLK BRK,TACKLE,THR PWR,FITNESS,AWARE,AGIL,COVER,HIT PWR,ENDUR,VISOR,SLEEVES,BANDS,WRAPS,AGE,POTENTIAL,PORTRAIT,DISCIPLINE
0,Ryan,Tannehill,3,17,76,217,QB,85,73,59,74,32,89,62,51,25,41,89,90,90,83,20,45,86,1,1,0,0,32,94,79,61
1,Derrick,Henry,5,22,75,247,RB,92,94,94,58,43,30,21,20,36,44,41,95,95,86,16,33,93,0,1,1,1,26,97,5,57
2,Darrynton,Evans,5,32,70,203,RB,92,72,89,60,31,31,17,14,36,38,40,81,60,91,33,34,89,1,0,0,0,22,92,166,59
3,A.J.,Brown,5,11,72,226,WR,91,87,74,88,36,12,17,16,26,23,34,86,94,87,22,17,88,1,0,1,0,23,96,34,58
4,Corey,Davis,5,84,75,209,WR,90,79,73,88,43,23,18,18,37,31,33,84,86,91,24,27,87,1,0,0,1,25,80,212,54
5,Adam,Humphries,5,10,71,195,WR,87,75,73,83,29,12,25,30,33,28,33,84,78,86,13,15,87,1,1,0,0,27,83,94,53
6,Chester,Rogers,5,80,72,184,WR,88,73,73,78,29,12,20,18,40,25,35,82,69,90,19,12,88,1,1,0,0,26,87,95,100
7,Kalif,Raymond,5,14,68,182,WR,94,73,66,77,28,12,23,22,34,44,35,80,66,90,26,42,86,0,1,1,0,26,79,227,66
8,Jonnu,Smith,5,81,75,248,TE,88,75,74,83,58,6,26,26,30,29,35,85,83,80,17,37,88,1,0,1,0,25,80,247,80
9,Taylor,Lewan,1,77,79,309,OL,75,10,46,41,86,8,21,23,25,39,16,90,95,73,12,25,86,0,0,1,0,29,81,16,98
10,Rodger,Saffold III,1,76,77,325,OL,62,10,25,23,84,7,25,25,15,32,24,92,91,69,13,15,84,1,1,0,1,32,91,57,70
11,Ben,Jones,5,60,75,308,OL,58,5,39,18,82,6,11,15,33,40,12,90,90,61,11,12,92,1,0,1,1,31,88,269,51
12,Nate,Davis,1,64,75,316,OL,65,7,40,15,78,7,24,21,37,45,30,80,88,70,13,35,87,0,1,0,0,23,93,255,98
13,Dennis,Kelly,1,71,80,321,OL,58,6,40,26,75,6,25,25,20,33,30,85,88,62,13,25,92,0,0,0,1,30,84,110,63
14,Jeffery,Simmons,5,98,76,301,DL,73,16,29,22,46,6,15,16,83,85,20,77,85,73,34,88,84,1,1,1,0,23,87,131,64
